pubmlst_id,st,n_reads,coverage,arcC,aroE,glpF,gmk,pta,tpi,yqiL,clonal_complex,MLST.CC,CC_filled,note,predicted_cc_is_correct,predicted_mlst_is_single
34211,5355,8000,100,2,3,1,238,4,4,3,CC8,CC8,CC8,"",TRUE,TRUE
34211,ND,1000,81.99,720*,157*,387*,478*,4*,4*,391*,,CC8,CC8,"Tested up to DLV, none found",,
34211,ND,2000,92.66,300*,3*,1,478*,4*,4*,3*,CC8,CC8,CC8,taken from DLV with 196 STs,TRUE,TRUE
34290,121,2000,93.95,6*,5*,6*,2*,7*,14*,5*,CC121,"",CC121,"",TRUE,TRUE
34290,121,6000,99.55,6,5,6,2,7,14,5*,CC121,"",CC121,"",TRUE,TRUE
34290,121,7000,99.58,6,5,6,2,7,14,5*,CC121,"",CC121,"",TRUE,TRUE
34290,121,8000,99.71,6,5,6,2,7,14,5*,CC121,"",CC121,"",TRUE,TRUE
34290,2782,3000,96.81,6*,5,6*,2,7*,14*,322*,CC121,"",CC121,"",TRUE,TRUE
34290,2782,4000,99.1,6*,5,6,2,7,14,322*,CC121,"",CC121,"",TRUE,TRUE
34290,2782,5000,99.29,6*,5,6,2,7,14,322*,CC121,"",CC121,"",TRUE,TRUE
34290,ND,1000,71.84,657*,5*,6*,43*,7*,14*,961*,,"",CC121,"Tested up to DLV, none found",,
35605,6711,4000,99.65,10,980,8*,2*,10,32,2*,CC45,CC45,CC45,"",TRUE,TRUE
35605,6711,5000,99.74,10,980,8*,2*,10,32,2*,CC45,CC45,CC45,"",TRUE,TRUE
35605,6711,6000,100,10,980,8,2,10,32,2,CC45,CC45,CC45,"",TRUE,TRUE
35605,6711,7000,100,10,980,8,2,10,32,2,CC45,CC45,CC45,"",TRUE,TRUE
35605,6711,8000,100,10,980,8,2,10,32,2,CC45,CC45,CC45,"",TRUE,TRUE
35605,ND,1000,75.74,594*,980*,8*,563*,10*,32*,2*,CC45,CC45,CC45,taken from DLV with 1 STs,TRUE,TRUE
35605,ND,2000,90.01,10*,980,8*,172*,10*,32*,2*,CC45,CC45,CC45,taken from SLV with 1 STs,TRUE,TRUE
35605,ND,3000,97.49,10*,980,766*,172*,10,32,2*,CC45,CC45,CC45,taken from DLV with 1 STs,TRUE,TRUE
35607,6712,4000,99.36,10*,981,8,6*,10*,3,2*,CC45,CC45,CC45,"",TRUE,TRUE
35607,6712,5000,99.68,10*,981,8,6*,10,3,2,CC45,CC45,CC45,"",TRUE,TRUE
35607,6712,6000,99.97,10,981,8,6*,10,3,2,CC45,CC45,CC45,"",TRUE,TRUE
35607,6712,7000,99.97,10,981,8,6*,10,3,2,CC45,CC45,CC45,"",TRUE,TRUE
35607,6712,8000,99.97,10,981,8,6*,10,3,2,CC45,CC45,CC45,"",TRUE,TRUE
35607,ND,1000,69.88,10*,502*,197*,6*,25*,2*,25*,,CC45,CC45,"Tested up to DLV, none found",,
35607,ND,2000,91.69,10*,502*,8*,6*,10*,3*,25*,CC45,CC45,CC45,taken from SLV with 2 STs,TRUE,TRUE
35607,ND,3000,95.88,10*,981*,8*,6*,10*,3,25*,CC45,CC45,CC45,taken from SLV with 2 STs,TRUE,TRUE
35868,254,4000,99.45,3*,32,1*,1,4*,4,3*,CC8,CC8,CC8,"",TRUE,TRUE
35868,254,5000,99.97,3,32,1*,1,4,4,3,CC8,CC8,CC8,"",TRUE,TRUE
35868,254,6000,100,3,32,1,1,4,4,3,CC8,CC8,CC8,"",TRUE,TRUE
35868,254,7000,100,3,32,1,1,4,4,3,CC8,CC8,CC8,"",TRUE,TRUE
35868,254,8000,100,3,32,1,1,4,4,3,CC8,CC8,CC8,"",TRUE,TRUE
35868,ND,1000,69.35,504*,32*,744*,411*,372*,4*,3*,,CC8,CC8,"Tested up to DLV, none found",,
35868,ND,2000,87.6,3*,32*,744*,1*,116*,4*,3*,CC8,CC8,CC8,taken from DLV with 4 STs,TRUE,TRUE
35868,ND,3000,97.36,3*,32,1*,1*,4*,4,413*,CC8,CC8,CC8,taken from SLV with 3 STs,TRUE,TRUE
35870,1,4000,99.77,1,1*,1*,1,1,1*,1,CC1,CC1,CC1,"",TRUE,TRUE
35870,1,5000,99.87,1,1*,1*,1,1,1,1,CC1,CC1,CC1,"",TRUE,TRUE
35870,1,6000,99.9,1,1,1*,1,1,1,1,CC1,CC1,CC1,"",TRUE,TRUE
35870,1,7000,100,1,1,1,1,1,1,1,CC1,CC1,CC1,"",TRUE,TRUE
35870,1,8000,100,1,1,1,1,1,1,1,CC1,CC1,CC1,"",TRUE,TRUE
35870,6685,3000,99.07,1,1*,331*,1,1*,1*,1,CC1,CC1,CC1,"",TRUE,TRUE
35870,ND,1000,76.69,1*,87*,316*,1*,636*,323*,1*,,CC1,CC1,"Tested up to DLV, none found",,
35870,ND,2000,94.98,1*,87*,331*,1,1*,332*,1,CC1,CC1,CC1,taken from DLV with 1 STs,TRUE,TRUE
35871,36,5000,99.87,2,2,2,2,3*,3*,2,CC30,CC30,CC30,"",TRUE,TRUE
35871,36,6000,99.94,2,2,2,2,3,3*,2,CC30,CC30,CC30,"",TRUE,TRUE
35871,36,7000,100,2,2,2,2,3,3,2,CC30,CC30,CC30,"",TRUE,TRUE
35871,36,8000,100,2,2,2,2,3,3,2,CC30,CC30,CC30,"",TRUE,TRUE
35871,500,3000,96.62,2*,2,2*,2,71*,3*,2*,CC30,CC30,CC30,"",TRUE,TRUE
35871,500,4000,98.23,2*,2,2*,2,71*,3*,2*,CC30,CC30,CC30,"",TRUE,TRUE
35871,ND,1000,79.61,649*,2*,289*,2*,3*,3*,348*,CC30,CC30,CC30,taken from DLV with 1 STs,TRUE,TRUE
35871,ND,2000,91.86,218*,2,289*,2*,71*,3*,348*,,CC30,CC30,"Tested up to DLV, none found",,
36588,ND,1000,75.11,95*,5*,6*,2*,89*,7,5*,CC121,"",CC121,taken from DLV with 4 STs,TRUE,TRUE
36588,ND,2000,84.56,905*,5*,6,2*,7*,7,5*,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36588,ND,3000,85.61,61*,5*,6,2,7*,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36588,ND,4000,85.9,773*,5,6,2,7*,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36588,ND,5000,85.99,773*,5,6,2,7,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36588,ND,6000,85.99,773*,5,6,2,7,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36588,ND,7000,86.09,773*,5,6,2,7,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36588,ND,8000,86.19,773*,5,6,2,7,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36589,ND,1000,75.11,95*,5*,6*,2*,89*,7,5*,CC121,"",CC121,taken from DLV with 4 STs,TRUE,TRUE
36589,ND,2000,84.56,905*,5*,6,2*,7*,7,5*,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36589,ND,3000,85.61,61*,5*,6,2,7*,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36589,ND,4000,85.9,773*,5,6,2,7*,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36589,ND,5000,85.99,773*,5,6,2,7,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36589,ND,6000,85.99,773*,5,6,2,7,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36589,ND,7000,86.09,773*,5,6,2,7,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36589,ND,8000,86.19,773*,5,6,2,7,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36592,ND,1000,78.32,36*,593*,161*,11*,6,3*,2*,,"",CC30,"Tested up to DLV, none found",,
36592,ND,2000,84.21,308*,2,161*,2*,6,3,2*,CC30,"",CC30,taken from SLV with 1 STs,TRUE,TRUE
36592,ND,3000,85.9,827*,2,2,2,6,3,2,CC30,"",CC30,taken from SLV with 92 STs,TRUE,TRUE
36592,ND,4000,86.03,827*,2,2,2,6,3,2,CC30,"",CC30,taken from SLV with 92 STs,TRUE,TRUE
36592,ND,5000,86.03,827*,2,2,2,6,3,2,CC30,"",CC30,taken from SLV with 92 STs,TRUE,TRUE
36592,ND,6000,86.16,827*,2,2,2,6,3,2,CC30,"",CC30,taken from SLV with 92 STs,TRUE,TRUE
36592,ND,7000,86.19,827*,2,2,2,6,3,2,CC30,"",CC30,taken from SLV with 92 STs,TRUE,TRUE
36592,ND,8000,86.22,827*,2,2,2,6,3,2,CC30,"",CC30,taken from SLV with 92 STs,TRUE,TRUE
36593,ND,1000,75.11,95*,5*,6*,2*,89*,7,5*,CC121,"",CC121,taken from DLV with 4 STs,TRUE,TRUE
36593,ND,2000,84.56,905*,5*,6,2*,7*,7,5*,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36593,ND,3000,85.61,61*,5*,6,2,7*,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36593,ND,4000,85.9,773*,5,6,2,7*,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36593,ND,5000,85.99,773*,5,6,2,7,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36593,ND,6000,85.99,773*,5,6,2,7,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36593,ND,7000,86.09,773*,5,6,2,7,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36593,ND,8000,86.19,773*,5,6,2,7,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36594,ND,1000,75.11,95*,5*,6*,2*,89*,7,5*,CC121,"",CC121,taken from DLV with 4 STs,TRUE,TRUE
36594,ND,2000,84.56,905*,5*,6,2*,7*,7,5*,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36594,ND,3000,85.61,61*,5*,6,2,7*,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36594,ND,4000,85.9,773*,5,6,2,7*,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36594,ND,5000,85.99,773*,5,6,2,7,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36594,ND,6000,85.99,773*,5,6,2,7,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36594,ND,7000,86.09,773*,5,6,2,7,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
36594,ND,8000,86.19,773*,5,6,2,7,7,5,CC121,"",CC121,taken from SLV with 4 STs,TRUE,TRUE
37267,6176,4000,99.16,3,35,19,2,20*,580,39,"","",CC398/CC5561,"",TRUE,TRUE
37267,6176,5000,99.77,3,35,19,2,20*,580,39,"","",CC398/CC5561,"",TRUE,TRUE
37267,6176,6000,100,3,35,19,2,20,580,39,"","",CC398/CC5561,"",TRUE,TRUE
37267,6176,7000,100,3,35,19,2,20,580,39,"","",CC398/CC5561,"",TRUE,TRUE
37267,6176,8000,100,3,35,19,2,20,580,39,"","",CC398/CC5561,"",TRUE,TRUE
37267,ND,1000,62.74,3*,35*,552*,423*,500*,57*,902*,,"",CC398/CC5561,"Tested up to DLV, none found",,
37267,ND,2000,92.42,3,35*,19,2,177*,580,39*,,"",CC398/CC5561,"Tested up to DLV, none found",,
37267,ND,3000,97.74,3,35*,19,2,10*,580,39,,"",CC398/CC5561,"Tested up to DLV, none found",,
37268,7317,3000,97.39,2*,2*,2,2*,6,3*,972*,CC30,CC30,CC30,"",TRUE,TRUE
37268,7317,4000,99.97,2,2,2,2*,6,3,972,CC30,CC30,CC30,"",TRUE,TRUE
37268,7317,5000,99.97,2,2,2,2*,6,3,972,CC30,CC30,CC30,"",TRUE,TRUE
37268,7317,6000,100,2,2,2,2,6,3,972,CC30,CC30,CC30,"",TRUE,TRUE
37268,7317,7000,100,2,2,2,2,6,3,972,CC30,CC30,CC30,"",TRUE,TRUE
37268,7317,8000,100,2,2,2,2,6,3,972,CC30,CC30,CC30,"",TRUE,TRUE
37268,ND,1000,79.33,2*,2*,2*,2*,482*,163*,972*,CC30,CC30,CC30,taken from DLV with 2 STs,TRUE,TRUE
37268,ND,2000,93.79,2*,2*,2,2*,6*,198*,972*,CC30,CC30,CC30,taken from SLV with 2 STs,TRUE,TRUE
37276,7317,2000,94.2,2*,2*,2,2,6*,3*,972*,CC30,CC30,CC30,"",TRUE,TRUE
37276,7317,3000,98.29,2*,2*,2,2,6*,3,972*,CC30,CC30,CC30,"",TRUE,TRUE
37276,7317,4000,99.65,2*,2,2,2,6,3,972,CC30,CC30,CC30,"",TRUE,TRUE
37276,7317,5000,99.87,2*,2,2,2,6,3,972,CC30,CC30,CC30,"",TRUE,TRUE
37276,7317,6000,100,2,2,2,2,6,3,972,CC30,CC30,CC30,"",TRUE,TRUE
37276,7317,7000,100,2,2,2,2,6,3,972,CC30,CC30,CC30,"",TRUE,TRUE
37276,7317,8000,100,2,2,2,2,6,3,972,CC30,CC30,CC30,"",TRUE,TRUE
37276,ND,1000,77.66,829*,842*,689*,550*,776*,3*,972*,,CC30,CC30,"Tested up to DLV, none found",,
37279,7317,4000,99.74,2,2,2,2,6,3*,972,CC30,CC30,CC30,"",TRUE,TRUE
37279,7317,5000,99.97,2,2,2,2,6,3*,972,CC30,CC30,CC30,"",TRUE,TRUE
37279,7317,6000,99.97,2,2,2,2,6,3*,972,CC30,CC30,CC30,"",TRUE,TRUE
37279,7317,7000,99.97,2,2,2,2,6,3*,972,CC30,CC30,CC30,"",TRUE,TRUE
37279,7317,8000,99.97,2,2,2,2,6,3*,972,CC30,CC30,CC30,"",TRUE,TRUE
37279,ND,1000,74.63,2*,12*,2*,353*,575*,316*,176*,,CC30,CC30,"Tested up to DLV, none found",,
37279,ND,2000,96.46,2*,2*,2,2*,575*,456*,176*,CC30,CC30,CC30,taken from DLV with 2 STs,TRUE,TRUE
37279,ND,3000,98.52,2*,2,2,2*,6,456*,972*,CC30,CC30,CC30,taken from SLV with 2 STs,TRUE,TRUE
37280,ND,1000,78.32,36*,593*,161*,11*,6,3*,2*,,"",CC30,"Tested up to DLV, none found",,
37280,ND,2000,84.21,308*,2,161*,2*,6,3,2*,CC30,"",CC30,taken from SLV with 1 STs,TRUE,TRUE
37280,ND,3000,85.9,827*,2,2,2,6,3,2,CC30,"",CC30,taken from SLV with 92 STs,TRUE,TRUE
37280,ND,4000,86.03,827*,2,2,2,6,3,2,CC30,"",CC30,taken from SLV with 92 STs,TRUE,TRUE
37280,ND,5000,86.03,827*,2,2,2,6,3,2,CC30,"",CC30,taken from SLV with 92 STs,TRUE,TRUE
37280,ND,6000,86.16,827*,2,2,2,6,3,2,CC30,"",CC30,taken from SLV with 92 STs,TRUE,TRUE
37280,ND,7000,86.19,827*,2,2,2,6,3,2,CC30,"",CC30,taken from SLV with 92 STs,TRUE,TRUE
37280,ND,8000,86.22,827*,2,2,2,6,3,2,CC30,"",CC30,taken from SLV with 92 STs,TRUE,TRUE
37464,8,3000,95.49,3*,3,1*,1,4,4*,3*,CC8,CC8,CC8,"",TRUE,TRUE
37464,8,4000,98.23,3,3,1,1,4,4*,3*,CC8,CC8,CC8,"",TRUE,TRUE
37464,8,6000,100,3,3,1,1,4,4,3,CC8,CC8,CC8,"",TRUE,TRUE
37464,8,7000,100,3,3,1,1,4,4,3,CC8,CC8,CC8,"",TRUE,TRUE
37464,8,8000,100,3,3,1,1,4,4,3,CC8,CC8,CC8,"",TRUE,TRUE
37464,ND,1000,82.29,876*,3*,822*,1*,4*,368*,400*,,CC8,CC8,"Tested up to DLV, none found",,
37464,ND,2000,91.34,240*,3,822*,1,4,368*,3*,CC8,CC8,CC8,taken from DLV with 2 STs,TRUE,TRUE
37464,ND,5000,99.61,3,3,1,1,4,4*,1011*,CC8,CC8,CC8,taken from SLV with 110 STs,TRUE,TRUE
38061,7565,2000,96.52,3*,631*,19*,2*,898,26*,999*,"","",CC398/CC5561,"",TRUE,TRUE
38061,7565,3000,99.1,3,631*,19,2*,898,26*,999,"","",CC398/CC5561,"",TRUE,TRUE
38061,7565,4000,100,3,631,19,2,898,26,999,"","",CC398/CC5561,"",TRUE,TRUE
38061,7565,5000,100,3,631,19,2,898,26,999,"","",CC398/CC5561,"",TRUE,TRUE
38061,7565,6000,100,3,631,19,2,898,26,999,"","",CC398/CC5561,"",TRUE,TRUE
38061,7565,7000,100,3,631,19,2,898,26,999,"","",CC398/CC5561,"",TRUE,TRUE
38061,7565,8000,100,3,631,19,2,898,26,999,"","",CC398/CC5561,"",TRUE,TRUE
38061,ND,1000,77.02,377*,631*,19*,139*,898*,58*,999*,,"",CC398/CC5561,"Tested up to DLV, none found",,
38063,7550,2000,95.36,4*,1*,4*,169,5*,493*,677*,"","",CC25,"",TRUE,TRUE
38063,7550,3000,99.52,4*,1*,4,169,5*,493,677*,"","",CC25,"",TRUE,TRUE
38063,7550,4000,99.84,4*,1,4,169,5*,493,677*,"","",CC25,"",TRUE,TRUE
38063,7550,5000,99.84,4*,1,4,169,5*,493,677*,"","",CC25,"",TRUE,TRUE
38063,7550,6000,99.9,4*,1,4,169,5,493,677,"","",CC25,"",TRUE,TRUE
38063,7550,7000,99.9,4*,1,4,169,5,493,677,"","",CC25,"",TRUE,TRUE
38063,7550,8000,100,4,1,4,169,5,493,677,"","",CC25,"",TRUE,TRUE
38063,ND,1000,81.07,4*,1054*,4*,169*,5*,493*,397*,,"",CC25,"Tested up to DLV, none found",,
38248,7670,4000,99,484*,1081*,132,1*,22*,1,1*,"","",CC772/CC834,"",TRUE,TRUE
38248,7670,5000,99.71,484,1081*,132,1,22,1,1*,"","",CC772/CC834,"",TRUE,TRUE
38248,7670,6000,99.74,484,1081,132,1,22,1,1*,"","",CC772/CC834,"",TRUE,TRUE
38248,7670,7000,99.84,484,1081,132,1,22,1,1*,"","",CC772/CC834,"",TRUE,TRUE
38248,7670,8000,99.94,484,1081,132,1,22,1,1*,"","",CC772/CC834,"",TRUE,TRUE
38248,ND,1000,73.47,617*,63*,132*,371*,22*,931*,1*,,"",CC772/CC834,"Tested up to DLV, none found",,
38248,ND,2000,92.3,81*,1081*,132*,1*,22*,1*,1*,CC1,"",CC772/CC834,taken from DLV with 1 STs,FALSE,TRUE
38248,ND,3000,96.17,81*,1081*,132,1*,22*,1,1*,CC1,"",CC772/CC834,taken from DLV with 1 STs,FALSE,TRUE
38290,7687,4000,99.68,4,13,1*,105*,11,5,850,"","",CC1,"",TRUE,TRUE
38290,7687,5000,99.74,4,13,1,105*,11,5,850,"","",CC1,"",TRUE,TRUE
38290,7687,6000,99.97,4,13,1,105*,11,5,850,"","",CC1,"",TRUE,TRUE
38290,7687,7000,100,4,13,1,105,11,5,850,"","",CC1,"",TRUE,TRUE
38290,7687,8000,100,4,13,1,105,11,5,850,"","",CC1,"",TRUE,TRUE
38290,ND,1000,61.53,883*,13*,835*,436*,11*,91*,850*,,"",CC1,"Tested up to DLV, none found",,
38290,ND,2000,91.22,4*,13*,467*,105*,11*,582*,850*,,"",CC1,"Tested up to DLV, none found",,
38290,ND,3000,98.62,257*,13,835*,105*,11*,5,850,,"",CC1,"Tested up to DLV, none found",,
38291,7745,4000,99.84,1*,38,1,1,1*,238,1013,CC1,CC1,CC1,"",TRUE,TRUE
38291,7745,5000,99.84,1*,38,1,1,1*,238,1013,CC1,CC1,CC1,"",TRUE,TRUE
38291,7745,6000,99.9,1*,38,1,1,1,238,1013,CC1,CC1,CC1,"",TRUE,TRUE
38291,7745,7000,100,1,38,1,1,1,238,1013,CC1,CC1,CC1,"",TRUE,TRUE
38291,7745,8000,100,1,38,1,1,1,238,1013,CC1,CC1,CC1,"",TRUE,TRUE
38291,ND,1000,49.34,80*,38*,37*,185*,490*,432*,1013*,,CC1,CC1,"Tested up to DLV, none found",,
38291,ND,2000,91.02,61*,38*,37*,185*,1*,238*,1013*,,CC1,CC1,"Tested up to DLV, none found",,
38291,ND,3000,96.94,1*,38*,1*,185*,1*,238,1013*,CC1,CC1,CC1,taken from SLV with 1 STs,TRUE,TRUE
38293,7746,6000,99.97,1,3,1,15*,28,840,1,"","",CC361/CC15,"",TRUE,TRUE
38293,7746,7000,100,1,3,1,15,28,840,1,"","",CC361/CC15,"",TRUE,TRUE
38293,7746,8000,100,1,3,1,15,28,840,1,"","",CC361/CC15,"",TRUE,TRUE
38293,ND,1000,65.94,515*,76*,87*,15*,28*,121*,135*,,"",CC361/CC15,"Tested up to DLV, none found",,
38293,ND,2000,91.27,709*,76*,1,15*,28*,840*,135*,,"",CC361/CC15,"Tested up to DLV, none found",,
38293,ND,3000,97.04,1,214*,798*,15*,28*,840*,1*,,"",CC361/CC15,"Tested up to DLV, none found",,
38293,ND,4000,99.39,1,3*,87*,15*,28,840*,1*,,"",CC361/CC15,"Tested up to DLV, none found",,
38293,ND,5000,99.68,1,3,87*,15*,28,840*,1,,"",CC361/CC15,"Tested up to DLV, none found",,
38294,7689,3000,99.48,1,421*,1,1,12*,1*,11*,CC1,CC1,CC5,"",TRUE,TRUE
38294,7689,4000,99.61,1,421*,1,1,12,1*,11,CC1,CC1,CC5,"",TRUE,TRUE
38294,7689,5000,100,1,421,1,1,12,1,11,CC1,CC1,CC5,"",TRUE,TRUE
38294,7689,6000,100,1,421,1,1,12,1,11,CC1,CC1,CC5,"",TRUE,TRUE
38294,7689,7000,100,1,421,1,1,12,1,11,CC1,CC1,CC5,"",TRUE,TRUE
38294,7689,8000,100,1,421,1,1,12,1,11,CC1,CC1,CC5,"",TRUE,TRUE
38294,ND,1000,63.61,184*,421*,490*,485*,122*,93*,11*,,CC1,CC5,"Tested up to DLV, none found",,
38294,ND,2000,94.78,484*,421*,1*,1*,12*,1*,11*,CC1,CC1,CC5,taken from SLV with 1 STs,TRUE,TRUE
38295,7690,2000,92.79,1*,1*,1*,1*,28*,4,11*,CC1,CC1,CC1,"",TRUE,TRUE
38295,7690,3000,98.16,1*,1*,1*,1*,28*,4,11*,CC1,CC1,CC1,"",TRUE,TRUE
38295,7690,4000,99,1*,1*,1,1,28*,4,11*,CC1,CC1,CC1,"",TRUE,TRUE
38295,7690,6000,99.87,1,1*,1,1,28,4,11,CC1,CC1,CC1,"",TRUE,TRUE
38295,7690,7000,100,1,1,1,1,28,4,11,CC1,CC1,CC1,"",TRUE,TRUE
38295,7690,8000,100,1,1,1,1,28,4,11,CC1,CC1,CC1,"",TRUE,TRUE
38295,ND,1000,78.49,1*,263*,1*,455*,503*,10*,11*,,CC1,CC1,"Tested up to DLV, none found",,
38295,ND,5000,99.52,862*,1*,1,1,28*,4,11,CC1,CC1,CC1,taken from SLV with 1 STs,TRUE,TRUE
38296,7747,3000,97.71,12*,1087,1*,66*,11*,839,850*,"","",CC5,"",TRUE,TRUE
38296,7747,4000,99.58,12*,1087,1*,66*,11,839,850*,"","",CC5,"",TRUE,TRUE
38296,7747,5000,99.77,12,1087,1,66,11,839,850*,"","",CC5,"",TRUE,TRUE
38296,7747,6000,100,12,1087,1,66,11,839,850,"","",CC5,"",TRUE,TRUE
38296,7747,7000,100,12,1087,1,66,11,839,850,"","",CC5,"",TRUE,TRUE
38296,7747,8000,100,12,1087,1,66,11,839,850,"","",CC5,"",TRUE,TRUE
38296,ND,1000,63.72,12*,1087*,539*,66*,263*,839*,850*,,"",CC5,"Tested up to DLV, none found",,
38296,ND,2000,88.44,12*,1087,775*,19*,11*,839,850*,,"",CC5,"Tested up to DLV, none found",,
38298,7748,5000,99.77,1,421,1*,598,916,1,11,"","",CC5,"",TRUE,TRUE
38298,7748,6000,99.81,1,421,1*,598,916,1,11,"","",CC5,"",TRUE,TRUE
38298,7748,7000,100,1,421,1,598,916,1,11,"","",CC5,"",TRUE,TRUE
38298,7748,8000,100,1,421,1,598,916,1,11,"","",CC5,"",TRUE,TRUE
38298,ND,1000,74.4,1*,421*,672*,598*,640*,1*,11*,,"",CC5,"Tested up to DLV, none found",,
38298,ND,2000,87.6,1*,421*,461*,598*,916*,1*,348*,,"",CC5,"Tested up to DLV, none found",,
38298,ND,3000,94.11,1*,421*,461*,598,916*,1*,11*,,"",CC5,"Tested up to DLV, none found",,
38298,ND,4000,98.62,1*,421,461*,598,916*,1,11*,,"",CC5,"Tested up to DLV, none found",,
