"Isolate.name","MLST.CC","pubmlst_id","CC_filled","has_disagreement"
"ERR212743","CC22",NA,"CC22",FALSE
"ERR212744","CC59",NA,"CC59",FALSE
"ERR212745","CC22",NA,"CC22",FALSE
"ERR212746","CC22",NA,"CC22",FALSE
"ERR212747","CC22",NA,"CC22",FALSE
"ERR212748","CC45",NA,"CC45",FALSE
"ERR212749","CC22",NA,"CC22",FALSE
"ERR212750","CC22",NA,"CC22",FALSE
"ERR212751","CC59",NA,"CC59",FALSE
"ERR212753","CC22",NA,"CC22",FALSE
"ERR212756","CC22",NA,"CC22",FALSE
"ERR212757","CC22",NA,"CC22",FALSE
"ERR212758","CC22",NA,"CC22",FALSE
"ERR212759","CC22",NA,"CC22",FALSE
"ERR212760","CC1",NA,"CC1",FALSE
"ERR212762","CC22",NA,"CC22",FALSE
"ERR212763","CC22",NA,"CC22",FALSE
"ERR212764","CC22",NA,"CC22",FALSE
"ERR212765","CC22",NA,"CC22",FALSE
"ERR212766","CC22",NA,"CC22",FALSE
"ERR212767","CC22",NA,"CC22",FALSE
"ERR212768","CC22",NA,"CC22",FALSE
"ERR212769","CC22",NA,"CC22",FALSE
"ERR212770","CC22",NA,"CC22",FALSE
"ERR212771","CC22",NA,"CC22",FALSE
"ERR212772","CC22",NA,"CC22",FALSE
"ERR212773","CC59",NA,"CC59",FALSE
"ERR212774","CC22",NA,"CC22",FALSE
"ERR212775","CC22",NA,"CC22",FALSE
"ERR212776","CC22",NA,"CC22",FALSE
"ERR212777","CC22",NA,"CC22",FALSE
"ERR212778","CC22",NA,"CC22",FALSE
"ERR212779","CC22",NA,"CC22",FALSE
"ERR212780","CC22",NA,"CC22",FALSE
"ERR212781","CC22",NA,"CC22",FALSE
"ERR212782","CC22",NA,"CC22",FALSE
"ERR212783","CC5",NA,"CC5",FALSE
"ERR212784","CC8",NA,"CC8",FALSE
"ERR212785","CC80",NA,"CC80",FALSE
"ERR212786","CC22",NA,"CC22",FALSE
"ERR212787","CC22",NA,"CC22",FALSE
"ERR212788","CC22",NA,"CC22",FALSE
"ERR212789","CC22",NA,"CC22",FALSE
"ERR212790","CC22",NA,"CC22",FALSE
"ERR212791","CC30",NA,"CC30",FALSE
"ERR212792","CC22",NA,"CC22",FALSE
"ERR212793","CC8",NA,"CC8",FALSE
"ERR212794","CC22",NA,"CC22",FALSE
"ERR212795","CC22",NA,"CC22",FALSE
"ERR212796","CC22",NA,"CC22",FALSE
"ERR212797","CC22",NA,"CC22",FALSE
"ERR212798","CC22",NA,"CC22",FALSE
"ERR212799","CC30",NA,"CC30",FALSE
"ERR212800","CC22",NA,"CC22",FALSE
"ERR212801","CC22",NA,"CC22",FALSE
"ERR212802","CC1",NA,"CC1",FALSE
"ERR212803","CC22",NA,"CC22",FALSE
"ERR212804","CC45",NA,"CC45",FALSE
"ERR212805","CC30",NA,"CC30",FALSE
"ERR212806","CC22",NA,"CC22",FALSE
"ERR212807","CC22",NA,"CC22",FALSE
"ERR212808","CC22",NA,"CC22",FALSE
"ERR212809","CC22",NA,"CC22",FALSE
"ERR212810","CC22",NA,"CC22",FALSE
"ERR212812","CC22",NA,"CC22",FALSE
"ERR212813","CC1",NA,"CC1",FALSE
"ERR212814","CC22",NA,"CC22",FALSE
"ERR212815","CC22",NA,"CC22",FALSE
"ERR212816","CC5",NA,"CC5",FALSE
"ERR212817","CC6",NA,"CC6",FALSE
"ERR212818","CC59",NA,"CC59",FALSE
"ERR212819","CC22",NA,"CC22",FALSE
"ERR212820","CC22",NA,"CC22",FALSE
"ERR212821","CC22",NA,"CC22",FALSE
"ERR212822","CC22",NA,"CC22",FALSE
"ERR212823","CC30",NA,"CC30",FALSE
"ERR212824","CC22",NA,"CC22",FALSE
"ERR212825","CC1",NA,"CC1",FALSE
"ERR212827","CC22",NA,"CC22",FALSE
"ERR212828","CC22",NA,"CC22",FALSE
"ERR212829","CC22",NA,"CC22",FALSE
"ERR212830","CC22",NA,"CC22",FALSE
"ERR212831","CC22",NA,"CC22",FALSE
"ERR212832","CC22",NA,"CC22",FALSE
"ERR212833","CC8",NA,"CC8",FALSE
"ERR212834","CC22",NA,"CC22",FALSE
"ERR212835","CC5",NA,"CC5",FALSE
"ERR212836","CC22",NA,"CC22",FALSE
"ERR212837","CC45",NA,"CC45",FALSE
"ERR212838","CC22",NA,"CC22",FALSE
"ERR212839","CC22",NA,"CC22",FALSE
"ERR212840","CC22",NA,"CC22",FALSE
"ERR212841","CC361",NA,"CC361",FALSE
"ERR212842","CC30",NA,"CC30",FALSE
"ERR212843","CC22",NA,"CC22",FALSE
"ERR212844","CC22",NA,"CC22",FALSE
"ERR212845","CC22",NA,"CC22",FALSE
"ERR212847","CC8",NA,"CC8",FALSE
"ERR212848","CC22",NA,"CC22",FALSE
"ERR212849","CC22",NA,"CC22",FALSE
"ERR212850","CC22",NA,"CC22",FALSE
"ERR212852","CC22",NA,"CC22",FALSE
"ERR212853","CC22",NA,"CC22",FALSE
"ERR212854","CC22",NA,"CC22",FALSE
"ERR212855","CC22",NA,"CC22",FALSE
"ERR212856","CC22",NA,"CC22",FALSE
"ERR212857","CC22",NA,"CC22",FALSE
"ERR212858","CC22",NA,"CC22",FALSE
"ERR212859","CC22",NA,"CC22",FALSE
"ERR212860","CC1",NA,"CC1",FALSE
"ERR212861","CC22",NA,"CC22",FALSE
"ERR212862","CC1",NA,"CC1",FALSE
"ERR212863","CC22",NA,"CC22",FALSE
"ERR212864","CC22",NA,"CC22",FALSE
"ERR212865","CC22",NA,"CC22",FALSE
"ERR212866","CC22",NA,"CC22",FALSE
"ERR212867","CC22",NA,"CC22",FALSE
"ERR212868","CC1",NA,"CC1",FALSE
"ERR212869","CC22",NA,"CC22",FALSE
"ERR212870","CC22",NA,"CC22",FALSE
"ERR212871","CC5",NA,"CC5",FALSE
"ERR212872","CC5",NA,"CC5",FALSE
"ERR212873","CC22",NA,"CC22",FALSE
"ERR212874","CC22",NA,"CC22",FALSE
"ERR212875","CC22",NA,"CC22",FALSE
"ERR212876","CC22",NA,"CC22",FALSE
"ERR212877","CC22",NA,"CC22",FALSE
"ERR212878","CC22",NA,"CC22",FALSE
"ERR212879","CC5",NA,"CC5",FALSE
"ERR212880","CC130",NA,"CC130",FALSE
"ERR212881","CC22",NA,"CC22",FALSE
"ERR212882","CC22",NA,"CC22",FALSE
"ERR212883","CC22",NA,"CC22",FALSE
"ERR212884","CC22",NA,"CC22",FALSE
"ERR212885","CC22",NA,"CC22",FALSE
"ERR212886","CC22",NA,"CC22",FALSE
"ERR212887","CC22",NA,"CC22",FALSE
"ERR212888","CC22",NA,"CC22",FALSE
"ERR212889","CC22",NA,"CC22",FALSE
"ERR212890","CC45",NA,"CC45",FALSE
"ERR212891","CC22",NA,"CC22",FALSE
"ERR212892","CC22",NA,"CC22",FALSE
"ERR212893","CC6",NA,"CC6",FALSE
"ERR212894","CC22",NA,"CC22",FALSE
"ERR212895","CC779",NA,"CC779",FALSE
"ERR212896","CC22",NA,"CC22",FALSE
"ERR212897","CC22",NA,"CC22",FALSE
"ERR212898","CC22",NA,"CC22",FALSE
"ERR212899","CC1",NA,"CC1",FALSE
"ERR212900","CC1",NA,"CC1",FALSE
"ERR212901","CC5",NA,"CC5",FALSE
"ERR212902","CC22",NA,"CC22",FALSE
"ERR212903","CC22",NA,"CC22",FALSE
"ERR212904","CC22",NA,"CC22",FALSE
"ERR212905","CC22",NA,"CC22",FALSE
"ERR212906","CC22",NA,"CC22",FALSE
"ERR212907","CC22",NA,"CC22",FALSE
"ERR212908","CC22",NA,"CC22",FALSE
"ERR212909","CC22",NA,"CC22",FALSE
"ERR212910","CC22",NA,"CC22",FALSE
"ERR212911","CC22",NA,"CC22",FALSE
"ERR212912","CC22",NA,"CC22",FALSE
"ERR212913","CC22",NA,"CC22",FALSE
"ERR212914","CC22",NA,"CC22",FALSE
"ERR212915","CC22",NA,"CC22",FALSE
"ERR212916","CC22",NA,"CC22",FALSE
"ERR212917","CC22",NA,"CC22",FALSE
"ERR212918","CC22",NA,"CC22",FALSE
"ERR212919","CC22",NA,"CC22",FALSE
"ERR212920","CC22",NA,"CC22",FALSE
"ERR212922","CC59",NA,"CC59",FALSE
"ERR212923","CC22",NA,"CC22",FALSE
"ERR212924","CC22",NA,"CC22",FALSE
"ERR212925","CC1",NA,"CC1",FALSE
"ERR212926","CC45",NA,"CC45",FALSE
"ERR212927","CC1",NA,"CC1",FALSE
"ERR212928","CC22",NA,"CC22",FALSE
"ERR212929","CC22",NA,"CC22",FALSE
"ERR212930","CC22",NA,"CC22",FALSE
"ERR212933","CC22",NA,"CC22",FALSE
"ERR212934","CC22",NA,"CC22",FALSE
"ERR212935","CC22",NA,"CC22",FALSE
"ERR212937","CC1",NA,"CC1",FALSE
"ERR212938","CC1",NA,"CC1",FALSE
"ERR212939","CC22",NA,"CC22",FALSE
"ERR212940","CC1",NA,"CC1",FALSE
"ERR212942","CC30",NA,"CC30",FALSE
"ERR212943","CC22",NA,"CC22",FALSE
"ERR212944","CC22",NA,"CC22",FALSE
"ERR212947","CC8",NA,"CC8",FALSE
"ERR212948","CC30",NA,"CC30",FALSE
"ERR212949","CC22",NA,"CC22",FALSE
"ERR212950","CC22",NA,"CC22",FALSE
"ERR212951","CC22",NA,"CC22",FALSE
"ERR212952","CC22",NA,"CC22",FALSE
"ERR212953","CC22",NA,"CC22",FALSE
"ERR212954","CC30",NA,"CC30",FALSE
"ERR212955","CC22",NA,"CC22",FALSE
"ERR212956","CC22",NA,"CC22",FALSE
"ERR212957","CC22",NA,"CC22",FALSE
"ERR212958","CC22",NA,"CC22",FALSE
"ERR212959","CC22",NA,"CC22",FALSE
"ERR212960","CC72",NA,"CC72",FALSE
"ERR212961","CC22",NA,"CC22",FALSE
"ERR212962","CC30",NA,"CC30",FALSE
"ERR212963","CC22",NA,"CC22",FALSE
"ERR212964","CC22",NA,"CC22",FALSE
"ERR212965","CC22",NA,"CC22",FALSE
"ERR212966","CC22",NA,"CC22",FALSE
"ERR212967","CC22",NA,"CC22",FALSE
"ERR212968","CC22",NA,"CC22",FALSE
"ERR212969","CC22",NA,"CC22",FALSE
"ERR212970","CC22",NA,"CC22",FALSE
"ERR212971","CC22",NA,"CC22",FALSE
"ERR212972","CC22",NA,"CC22",FALSE
"ERR212973","CC22",NA,"CC22",FALSE
"ERR212975","CC15",NA,"CC15",FALSE
"ERR212976","CC22",NA,"CC22",FALSE
"ERR212977","CC22",NA,"CC22",FALSE
"ERR212978","CC22",NA,"CC22",FALSE
"ERR212979","CC22",NA,"CC22",FALSE
"ERR212980","CC22",NA,"CC22",FALSE
"ERR212981","CC22",NA,"CC22",FALSE
"ERR212982","CC30",NA,"CC30",FALSE
"ERR212983","CC22",NA,"CC22",FALSE
"ERR212984","CC22",NA,"CC22",FALSE
"ERR212985","CC22",NA,"CC22",FALSE
"ERR212986","CC5",NA,"CC5",FALSE
"ERR212987","CC30",NA,"CC30",FALSE
"ERR212988","CC22",NA,"CC22",FALSE
"ERR212989","CC1",NA,"CC1",FALSE
"ERR212990","CC22",NA,"CC22",FALSE
"ERR212992","CC22",NA,"CC22",FALSE
"ERR212994","CC5",NA,"CC5",FALSE
"ERR212995","CC22",NA,"CC22",FALSE
"ERR212996","CC22",NA,"CC22",FALSE
"ERR212997","CC22",NA,"CC22",FALSE
"ERR212998","CC22",NA,"CC22",FALSE
"ERR212999","CC8",NA,"CC8",FALSE
"ERR213000","CC5",NA,"CC5",FALSE
"ERR213001","CC8",NA,"CC8",FALSE
"ERR213002","CC22",NA,"CC22",FALSE
"ERR213003","CC1",NA,"CC1",FALSE
"ERR213004","CC1",NA,"CC1",FALSE
"ERR213005","CC22",NA,"CC22",FALSE
"ERR213006","CC22",NA,"CC22",FALSE
"ERR213007","CC22",NA,"CC22",FALSE
"ERR213008","CC22",NA,"CC22",FALSE
"ERR213009","CC5",NA,"CC5",FALSE
"ERR213011","CC22",NA,"CC22",FALSE
"ERR213012","CC45",NA,"CC45",FALSE
"ERR213013","CC30",NA,"CC30",FALSE
"ERR213014","CC8",NA,"CC8",FALSE
"ERR213015","CC22",NA,"CC22",FALSE
"ERR213016","CC22",NA,"CC22",FALSE
"ERR213017","CC22",NA,"CC22",FALSE
"ERR213018","CC22",NA,"CC22",FALSE
"ERR213019","CC1",NA,"CC1",FALSE
"ERR213020","CC59",NA,"CC59",FALSE
"ERR213021","CC30",NA,"CC30",FALSE
"ERR213022","CC22",NA,"CC22",FALSE
"ERR213023","CC22",NA,"CC22",FALSE
"ERR213024","CC22",NA,"CC22",FALSE
"ERR213025","CC59",NA,"CC59",FALSE
"ERR213026","CC22",NA,"CC22",FALSE
"ERR355928","CC8",NA,"CC8",FALSE
"ERR355929","CC78",NA,"CC78",FALSE
"ERR355930","CC5",NA,"CC5",FALSE
"ERR355931","CC5",NA,"CC5",FALSE
"ERR355932","CC30",NA,"CC30",FALSE
"ERR355933","CC30",NA,"CC30",FALSE
"ERR355934","CC22",NA,"CC22",FALSE
"ERR355935","CC8",NA,"CC8",FALSE
"ERR3826069","CC22",NA,"CC22",FALSE
"ERR3826070","CC22",NA,"CC22",FALSE
"ERR3826071","CC59",NA,"CC59",FALSE
"ERR3826072","CC22",NA,"CC22",FALSE
"ERR3826073","CC8",NA,"CC8",FALSE
"ERR3826074","CC59",NA,"CC59",FALSE
"ERR3826075","CC5",NA,"CC5",FALSE
"ERR3826076","CC22",NA,"CC22",FALSE
"ERR3826077","CC22",NA,"CC22",FALSE
"ERR3826078","CC22",NA,"CC22",FALSE
"ERR3826079","CC59",NA,"CC59",FALSE
"ERR3826080","CC22",NA,"CC22",FALSE
"ERR3826081","CC22",NA,"CC22",FALSE
"ERR3826082","CC45",NA,"CC45",FALSE
"ERR3826083","CC45",NA,"CC45",FALSE
"ERR3826084","CC22",NA,"CC22",FALSE
"ERR3826085","CC22",NA,"CC22",FALSE
"ERR3826086","CC22",NA,"CC22",FALSE
"ERR3826087","CC22",NA,"CC22",FALSE
"ERR3826088","CC22",NA,"CC22",FALSE
"ERR3826089","CC1",NA,"CC1",FALSE
"ERR3826090","CC30",NA,"CC30",FALSE
"ERR3826091","CC1",NA,"CC1",FALSE
"ERR3826092","CC22",NA,"CC22",FALSE
"ERR3826093","CC59",NA,"CC59",FALSE
"ERR3826094","CC59",NA,"CC59",FALSE
"ERR3826095","CC59",NA,"CC59",FALSE
"ERR3826096","CC22",NA,"CC22",FALSE
"ERR3826097","CC22",NA,"CC22",FALSE
"ERR3826098","CC1",NA,"CC1",FALSE
"ERR3826099","CC30",NA,"CC30",FALSE
"ERR3826100","CC22",NA,"CC22",FALSE
"ERR3826101","CC22",NA,"CC22",FALSE
"ERR3826102","CC22",NA,"CC22",FALSE
"ERR3826103","CC22",NA,"CC22",FALSE
"ERR3826104","CC22",NA,"CC22",FALSE
"ERR3826105","CC45",NA,"CC45",FALSE
"ERR3826106","CC5",NA,"CC5",FALSE
"ERR3826107","CC59",NA,"CC59",FALSE
"ERR3826108","CC45",NA,"CC45",FALSE
"ERR3826109","CC5",NA,"CC5",FALSE
"ERR3826110","CC8",NA,"CC8",FALSE
"ERR3826111","CC59",NA,"CC59",FALSE
"ERR3826112","CC1",NA,"CC1",FALSE
"ERR3826113","CC22",NA,"CC22",FALSE
"ERR3826114","CC22",NA,"CC22",FALSE
"ERR3826115","CC45",NA,"CC45",FALSE
"ERR3826116","CC22",NA,"CC22",FALSE
"ERR3826117","CC22",NA,"CC22",FALSE
"ERR3826118","CC5",NA,"CC5",FALSE
"ERR3826119","CC5",NA,"CC5",FALSE
"ERR3826120","CC22",NA,"CC22",FALSE
"ERR3826121","CC22",NA,"CC22",FALSE
"ERR3826122","CC45",NA,"CC45",FALSE
"ERR3826123","CC5",NA,"CC5",FALSE
"ERR3826124","CC22",NA,"CC22",FALSE
"ERR3826125","CC22",NA,"CC22",FALSE
"ERR3826126","CC22",NA,"CC22",FALSE
"ERR3826127","CC22",NA,"CC22",FALSE
"ERR3826128","CC1",NA,"CC1",FALSE
"ERR3826129","CC22",NA,"CC22",FALSE
"ERR3826130","CC71",NA,"CC71",FALSE
"ERR3826131","CC8",NA,"CC8",FALSE
"ERR3826132","CC59",NA,"CC59",FALSE
"ERR3826133","CC45",NA,"CC45",FALSE
"ERR3826134","CC8",NA,"CC8",FALSE
"ERR3826135","CC22",NA,"CC22",FALSE
"ERR3826136","CC22",NA,"CC22",FALSE
"ERR3826137","CC59",NA,"CC59",FALSE
"ERR3826138","CC30",NA,"CC30",FALSE
"ERR3826139","CC22",NA,"CC22",FALSE
"ERR3826140","CC22",NA,"CC22",FALSE
"ERR3826141","CC1",NA,"CC1",FALSE
"ERR3826142","CC22",NA,"CC22",FALSE
"ERR3826143","CC22",NA,"CC22",FALSE
"ERR3826144","CC22",NA,"CC22",FALSE
"ERR3826145","CC22",NA,"CC22",FALSE
"ERR3826146","CC45",NA,"CC45",FALSE
"ERR3826147","CC59",NA,"CC59",FALSE
"ERR3826148","CC59",NA,"CC59",FALSE
"ERR3826149","CC22",NA,"CC22",FALSE
"ERR3826150","CC22",NA,"CC22",FALSE
"ERR3826151","CC45",NA,"CC45",FALSE
"ERR3826152","CC22",NA,"CC22",FALSE
"ERR3826153","CC22",NA,"CC22",FALSE
"ERR3826154","CC22",NA,"CC22",FALSE
"ERR3826155","CC1",NA,"CC1",FALSE
"ERR3826156","CC5",NA,"CC5",FALSE
"ERR3826157","CC22",NA,"CC22",FALSE
"ERR3826158","CC22",NA,"CC22",FALSE
"ERR3826159","CC45",NA,"CC45",FALSE
"ERR3826160","CC5",NA,"CC5",FALSE
"ERR3826161","CC22",NA,"CC22",FALSE
"ERR3826162","CC22",NA,"CC22",FALSE
"ERR3826163","CC5",NA,"CC5",FALSE
"ERR3826164","CC22",NA,"CC22",FALSE
"ERR3826165","CC22",NA,"CC22",FALSE
"ERR3826166","CC5",NA,"CC5",FALSE
"ERR3826167","CC22",NA,"CC22",FALSE
"ERR3826168","CC22",NA,"CC22",FALSE
"ERR3826169","CC5",NA,"CC5",FALSE
"ERR3826170","CC22",NA,"CC22",FALSE
"ERR3826171","CC78",NA,"CC78",FALSE
"ERR3826172","CC22",NA,"CC22",FALSE
"ERR3826173","CC22",NA,"CC22",FALSE
"ERR3826174","CC22",NA,"CC22",FALSE
"ERR3826175","CC22",NA,"CC22",FALSE
"ERR3826176","CC22",NA,"CC22",FALSE
"ERR3826177","CC22",NA,"CC22",FALSE
"ERR3826178","CC22",NA,"CC22",FALSE
"ERR3826179","CC22",NA,"CC22",FALSE
"ERR3826180","CC22",NA,"CC22",FALSE
"ERR3826181","CC22",NA,"CC22",FALSE
"ERR3826182","CC22",NA,"CC22",FALSE
"ERR3826183","CC22",NA,"CC22",FALSE
"ERR3826184","CC5",NA,"CC5",FALSE
"ERR3826185","CC22",NA,"CC22",FALSE
"ERR3826186","CC5",NA,"CC5",FALSE
"ERR3826187","CC398/CC5561",NA,"CC398/CC5561",FALSE
"ERR3826188","CC45",NA,"CC45",FALSE
"ERR3826189","CC22",NA,"CC22",FALSE
"ERR3826190","CC8",NA,"CC8",FALSE
"ERR3826191","CC45",NA,"CC45",FALSE
"ERR3826192","CC5",NA,"CC5",FALSE
"ERR3826193","CC22",NA,"CC22",FALSE
"ERR3826194","CC1",NA,"CC1",FALSE
"ERR3826195","CC45",NA,"CC45",FALSE
"ERR3826196","CC22",NA,"CC22",FALSE
"ERR3826197","CC59",NA,"CC59",FALSE
"ERR3826198","CC8",NA,"CC8",FALSE
"ERR3826199","CC22",NA,"CC22",FALSE
"ERR3826200","CC22",NA,"CC22",FALSE
"ERR3826201","CC22",NA,"CC22",FALSE
"ERR3826202","CC22",NA,"CC22",FALSE
"ERR3826203","CC45",NA,"CC45",FALSE
"ERR3826204","CC22",NA,"CC22",FALSE
"ERR3826205","CC59",NA,"CC59",FALSE
"ERR3826206","CC22",NA,"CC22",FALSE
"ERR3826207","CC59",NA,"CC59",FALSE
"ERR3826208","CC5",NA,"CC5",FALSE
"ERR3826209","CC22",NA,"CC22",FALSE
"ERR3826210","CC59",NA,"CC59",FALSE
"ERR3826211","CC30",NA,"CC30",FALSE
"ERR3826212","CC59",NA,"CC59",FALSE
"ERR3826213","CC1",NA,"CC1",FALSE
"ERR3826214","CC22",NA,"CC22",FALSE
"ERR3826215","CC59",NA,"CC59",FALSE
"ERR3826216","CC59",NA,"CC59",FALSE
"ERR3826217","CC8",NA,"CC8",FALSE
"ERR3826218","CC22",NA,"CC22",FALSE
"ERR3826219","CC45",NA,"CC45",FALSE
"ERR3826220","CC59",NA,"CC59",FALSE
"ERR3826221","CC30",NA,"CC30",FALSE
"ERR3826222","CC22",NA,"CC22",FALSE
"ERR3826223","CC8",NA,"CC8",FALSE
"ERR3826224","CC22",NA,"CC22",FALSE
"ERR3826225","CC72",NA,"CC72",FALSE
"ERR3826226","CC5",NA,"CC5",FALSE
"ERR3826227","CC22",NA,"CC22",FALSE
"ERR3826228","CC5",NA,"CC5",FALSE
"ERR3826229","CC22",NA,"CC22",FALSE
"ERR3826230","CC22",NA,"CC22",FALSE
"ERR3826231","CC1",NA,"CC1",FALSE
"ERR3826232","CC5",NA,"CC5",FALSE
"ERR3826233","CC30",NA,"CC30",FALSE
"ERR3826234","CC59",NA,"CC59",FALSE
"ERR3826235","CC8",NA,"CC8",FALSE
"ERR3826236","CC80",NA,"CC80",FALSE
"ERR3826237","CC22",NA,"CC22",FALSE
"ERR3826238","CC45",NA,"CC45",FALSE
"ERR3826239","CC71",NA,"CC71",FALSE
"ERR3826240","CC45",NA,"CC45",FALSE
"ERR3826241","CC5",NA,"CC5",FALSE
"ERR3826243","CC59",NA,"CC59",FALSE
"ERR3826244","CC71",NA,"CC71",FALSE
"ERR3826245","CC6",NA,"CC6",FALSE
"ERR3826246","CC22",NA,"CC22",FALSE
"ERR3826247","CC5",NA,"CC5",FALSE
"ERR3826248","CC8",NA,"CC8",FALSE
"ERR3826249","CC22",NA,"CC22",FALSE
"ERR3826250","CC5",NA,"CC5",FALSE
"ERR3826251","CC5",NA,"CC5",FALSE
"ERR3826252","CC59",NA,"CC59",FALSE
"ERR3826254","CC152",NA,"CC152",FALSE
"ERR3826255","CC22",NA,"CC22",FALSE
"ERR3826256","CC59",NA,"CC59",FALSE
"ERR3826257","CC6",NA,"CC6",FALSE
"ERR3826258","CC45",NA,"CC45",FALSE
"ERR3826259","CC1",NA,"CC1",FALSE
"ERR3826260","CC59",NA,"CC59",FALSE
"ERR3826261","CC22",NA,"CC22",FALSE
"ERR3826262","CC22",NA,"CC22",FALSE
"ERR3826263","CC22",NA,"CC22",FALSE
"ERR3826264","CC59",NA,"CC59",FALSE
"ERR3826265","CC22",NA,"CC22",FALSE
"ERR3826266","CC22",NA,"CC22",FALSE
"ERR3826267","CC59",NA,"CC59",FALSE
"ERR3826268","CC72",NA,"CC72",FALSE
"ERR3826270","CC72",NA,"CC72",FALSE
"ERR3826271","CC45",NA,"CC45",FALSE
"ERR3826272","CC5",NA,"CC5",FALSE
"ERR3826273","CC78",NA,"CC78",FALSE
"ERR3826274","CC22",NA,"CC22",FALSE
"ERR3826275","CC398/CC5561",NA,"CC398/CC5561",FALSE
