Isolate.name,pubmlst_id,MLST.CC,CC_filled,n_unknown,prop_unknown,has_disagreement,arcC,aroE,glpF,gmk,pta,tpi,yqiL,ST (MLST),predicted_MLST.CC,fin_score,predicted_mlst_is_correct,predicted_mlst_is_single
36593_NAS_NP_260_G2,36593,"",CC121,59538,0.362296528432774,FALSE,,5,6,2,7,7,5,,CC121,0.523636363636364,TRUE,TRUE
36594_NAS_NP_260_G3,36594,"",CC121,59538,0.362296528432774,FALSE,,5,6,2,7,7,5,,CC121,0.523636363636364,TRUE,TRUE
37267_NAS_AN_212,37267,"",CC398/CC5561,3328,0.020251315909575,FALSE,3,35,19,2,20,580,39,6176,CC398/CC5561,0.893337831000169,TRUE,TRUE
37268_NAS_OP_003,37268,CC30,CC30,2272,0.0138254175921137,FALSE,2,2,2,2,6,3,972,7317,CC30,0.868821049080789,TRUE,TRUE
37276_NAS_NP_209,37276,CC30,CC30,3354,0.0204095293151185,FALSE,2,2,2,2,6,3,972,7317,CC30,0.898370720188902,TRUE,TRUE
37279_NAS_NP_229,37279,CC30,CC30,3346,0.020360848267259,FALSE,2,2,2,2,6,3,972,7317,CC30,0.871539888682745,TRUE,TRUE
37280_NAS_NP_260,37280,"",CC30,59552,0.362381720266529,FALSE,,2,2,2,6,3,2,,CC30,0.542944847360432,TRUE,TRUE
37464_NCTC_8325,37464,CC8,CC8,1323,0.00805062828977394,FALSE,3,3,1,1,4,4,3,8,CC8,0.868821049080789,TRUE,TRUE
38061_NAS_AN_230_G1,38061,"",CC398/CC5561,3337,0.020306082088417,FALSE,3,631,19,2,898,26,999,7565,CC398/CC5561,0.886044864226682,TRUE,TRUE
38063_NAS_OP_098_G4,38063,"",CC25,446,0.0027139684181702,FALSE,4,1,4,169,5,493,677,7550,CC25,0.872396694214876,TRUE,TRUE
38248_U59,38248,"",CC772/CC834,1326,0.00806888368272127,FALSE,484,1081,132,1,22,1,1,7670,CC772/CC834,0.908132906054984,TRUE,TRUE
38290_01_RR_86,38290,"",CC1,1822,0.0110871086500137,FALSE,4,13,1,105,11,5,850,7687,CC1,0.660779220779221,TRUE,TRUE
38291_03_RR_88,38291,CC1,CC1,1517,0.00923114370036815,FALSE,1,38,1,1,1,238,1013,7745,CC772/CC834,0.657480182155507,FALSE,TRUE
38293_07_G_D,38293,"",CC361/CC15,1469,0.00893905741321082,FALSE,1,3,1,15,28,840,1,7746,CC8,0.641996964074886,FALSE,TRUE
38294_08_G_E,38294,CC1,CC5,1555,0.00946237867770104,TRUE,1,421,1,1,12,1,11,7689,CC12,0.673975375274076,FALSE,TRUE
38295_09_G_F,38295,CC1,CC1,1925,0.0117138771412055,FALSE,1,1,1,1,28,4,11,7690,CC772/CC834,0.652953280485748,FALSE,TRUE
38296_12_G_51,38296,"",CC5,1909,0.0116165150454864,FALSE,12,1087,1,66,11,839,850,7747,CC12,0.615442739079103,FALSE,TRUE
38298_15_G_54,38298,"",CC5,1568,0.00954148538047282,FALSE,1,421,1,598,916,1,11,7748,CC12,0.665785123966943,FALSE,TRUE
38299_17_H_61,38299,"",CC12,1157,0.00704049654668817,FALSE,4,421,1,105,1,5,854,7692,CC12,0.685147579693034,TRUE,TRUE
38300_18_H_62,38300,CC1,CC5,1537,0.00935284632001704,TRUE,1,3,1,598,1,1,11,7749,CC5,0.667174903019058,TRUE,TRUE
38301_26_G_G,38301,"",CC361/CC15,1588,0.0096631880001217,FALSE,3,38,1,15,1,841,40,7750,CC12,0.667174903019058,FALSE,TRUE
38302_28_G_I,38302,CC8,CC96,1555,0.00946237867770104,TRUE,3,3,1,66,4,1,1014,7751,CC12,0.671020408163266,FALSE,TRUE
38303_29_P_01,38303,"",CC5,1508,0.00917637752152615,FALSE,100,1,1,15,1,4,11,7693,CC12,0.632322482712093,FALSE,TRUE
38304_30_P_10,38304,"",CC361/CC15,1776,0.0108071926248212,FALSE,3,3,1,66,28,842,850,7752,CC361/CC15,0.67510878731658,TRUE,TRUE
38305_32_T_13,38305,"",CC361/CC15,1600,0.00973620957191104,FALSE,4,3,1,598,12,1,11,7753,CC12,0.695483218080621,FALSE,TRUE
38306_39_B_49,38306,"",CC5,1494,0.00909118568777193,FALSE,3,1088,943,105,12,10,13,7754,CC12,0.641632653061225,FALSE,TRUE
38308_16CS0212,38308,"",CC59,2985,0.0181641159825965,FALSE,6,79,12,2,13,50,172,7695,CC1943,0.690059031877214,FALSE,TRUE
38485_22MR0019,38485,"",CC59,2655,0.0161560227583899,FALSE,14,16,11,2,922,12,14,7767,CC59,0.701420138303255,TRUE,TRUE
38608_7726_MF_31,38608,CC8,CC8,1225,0.00745428545349439,FALSE,3,3,1,1,4,4,3,8,CC8,0.87603305785124,TRUE,TRUE
38609_7726_MF_32,38609,CC5,CC5,567,0.00345026926704597,FALSE,1,4,1,4,12,1,10,5,CC5,0.94848372406814,TRUE,TRUE
38610_7726_MF_33,38610,"",CC59,2425,0.0147564426324277,FALSE,19,23,15,2,41,20,15,87,CC59,0.844769775678866,TRUE,TRUE
38611_7726_MF_34,38611,"",CC12,1191,0.00724739100009128,FALSE,1,3,1,8,11,5,11,12,CC12,0.891145218417946,TRUE,TRUE
38612_7726_MF_35,38612,CC8,CC8,1200,0.00730215717893328,FALSE,3,3,1,1,4,4,3,8,CC8,0.883656603137122,TRUE,TRUE
38692_7726_MF_37,38692,CC30,CC30,2905,0.017677305504001,FALSE,2,2,2,2,6,3,2,30,CC30,0.871539888682745,TRUE,TRUE
38693_7726_MF_38,38693,CC8,CC8,1246,0.00758207320412572,FALSE,3,3,1,1,4,4,3,8,CC8,0.844472929667735,TRUE,TRUE
38694_7726_MF_39,38694,CC8,CC8,1252,0.00761858399002039,FALSE,3,3,1,1,4,4,3,8,CC8,0.868821049080789,TRUE,TRUE
38695_7726_MF_40,38695,CC1,CC361/CC15,1134,0.00690053853409195,TRUE,3,27,1,1,1,1,10,109,CC361/CC15,0.869165120593692,TRUE,TRUE
38696_7726_MF_42,38696,"",CC398/CC5561,3125,0.0190160343201387,FALSE,3,37,979,2,20,26,32,8113,CC398/CC5561,0.861865407319953,TRUE,TRUE
38697_7726_MF_43,38697,"",CC398/CC5561,3071,0.0186874372470867,FALSE,3,37,979,2,20,26,32,8113,CC398/CC5561,0.856940462135268,TRUE,TRUE
38698_7726_MF_44,38698,"",CC398/CC5561,3020,0.0183770955669821,FALSE,3,37,979,2,20,26,32,8113,CC398/CC5561,0.856940462135268,TRUE,TRUE
38699_7726_MF_45,38699,CC30,CC30,2848,0.0173304530380016,FALSE,2,2,2,2,6,3,2,30,CC30,0.861757463315905,TRUE,TRUE
38700_7726_MF_46,38700,CC15,CC15,1306,0.00794718106307238,FALSE,13,13,1,1,12,11,13,15,CC15,0.883413729128014,TRUE,TRUE
38701_7726_MF_47,38701,"",CC398/CC5561,3088,0.0187908844737883,FALSE,3,37,979,2,20,26,32,8113,CC398/CC5561,0.854349806038118,TRUE,TRUE
38702_7726_MF_48,38702,CC8,CC8,1283,0.00780722305047616,FALSE,3,3,1,1,4,4,3,8,CC8,0.859504132231404,TRUE,TRUE
38703_7726_MF_49,38703,CC8,CC8,1248,0.00759424346609061,FALSE,3,3,1,1,4,4,3,8,CC8,0.861352673300725,TRUE,TRUE
38704_7726_MF_50,38704,"",CC59,2350,0.0143000578087443,FALSE,19,23,15,2,19,20,15,59,CC59,0.873799966267499,TRUE,TRUE
38705_7726_MF_51,38705,CC121,CC121,2316,0.0140931633553412,FALSE,6,5,6,2,969,14,5,8117,CC121,0.840242874009108,TRUE,TRUE
38706_7726_MF_52,38706,CC8,CC8,1236,0.00752122189430128,FALSE,3,3,1,1,4,4,3,8,CC8,0.84,TRUE,TRUE
38707_7726_MF_53,38707,CC1,CC1,1155,0.00702832628472328,FALSE,1,1,1,1,1,1,1,1,CC1,0.895962219598583,TRUE,TRUE
38708_7726_MF_54,38708,CC8,CC8,1241,0.0075516475492135,FALSE,3,3,1,1,4,4,3,8,CC8,0.881268342047562,TRUE,TRUE
38709_7726_MF_56,38709,CC8,CC8,1231,0.00749079623938905,FALSE,3,3,1,1,4,4,3,8,CC8,0.85928824422331,TRUE,TRUE
38710_7726_MF_57,38710,CC8,CC8,1275,0.00775854200261661,FALSE,3,3,1,1,4,4,3,8,CC8,0.856819025130714,TRUE,TRUE
38711_7726_MF_58,38711,CC45,CC45,3722,0.022648857516658,FALSE,10,40,8,6,10,3,2,508,CC45,0.847346938775511,TRUE,TRUE
38712_7726_MF_59,38712,CC45,CC45,3671,0.0223385158365534,FALSE,10,40,8,6,10,3,2,508,CC45,0.85469387755102,TRUE,TRUE
38713_7726_MF_60,38713,CC1,CC1,1173,0.00713785864240728,FALSE,1,1,1,1,1,1,1,1,CC1,0.90077922077922,TRUE,TRUE
38714_7726_MF_61,38714,CC1,CC361/CC15,1136,0.00691270879605684,TRUE,3,27,1,1,1,1,10,109,CC361/CC15,0.871431944678698,TRUE,TRUE
38715_7726_MF_62,38715,CC1,CC361/CC15,1171,0.00712568838044239,TRUE,3,27,1,1,1,1,10,109,CC361/CC15,0.851880586945522,TRUE,TRUE
38716_7726_MF_63,38716,CC30,CC30,2996,0.0182310524234034,FALSE,2,2,2,2,6,3,2,30,CC30,0.871539888682745,TRUE,TRUE
38717_7726_MF_64,38717,CC45,CC45,3564,0.0216874068214318,FALSE,10,14,8,6,10,3,2,45,CC45,0.840431776016191,TRUE,TRUE
38718_7726_MF_65,38718,"",CC12,1206,0.00733866796482794,FALSE,1,3,1,8,11,5,11,12,CC12,0.878664192949907,TRUE,TRUE
38719_7726_MF_66,38719,CC15,CC15,1276,0.00776462713359905,FALSE,13,13,1,1,12,11,13,15,CC15,0.881268342047562,TRUE,TRUE
38720_7726_MF_67,38720,CC30,CC30,3227,0.0196367176803481,FALSE,2,2,2,2,6,3,2,30,CC30,0.854592680047225,TRUE,TRUE
38721_7726_MF_68,38721,CC30,CC30,3008,0.0183040739951927,FALSE,2,2,2,2,6,3,2,30,CC30,0.861636026311351,TRUE,TRUE
38722_7726_MF_69,38722,CC30,CC30,2982,0.0181458605896492,FALSE,931,2,2,2,6,3,2,8118,CC30,0.8739146567718,TRUE,TRUE
38723_7726_MF_70,38723,CC30,CC30,3235,0.0196853987282076,FALSE,2,2,2,2,6,3,2,30,CC30,0.844897959183673,TRUE,TRUE
38724_7726_MF_72,38724,CC45,CC45,3429,0.0208659141388018,FALSE,10,14,8,6,10,3,2,45,CC45,0.842678360600439,TRUE,TRUE
38725_7726_MF_73,38725,CC30,CC30,2988,0.0181823713755439,FALSE,2,2,2,2,6,3,2,30,CC30,0.852420306965762,TRUE,TRUE
38726_7726_MF_74,38726,CC30,CC30,2958,0.0179998174460705,FALSE,2,2,2,2,6,3,2,30,CC30,0.888736717827626,TRUE,TRUE
38727_7726_MF_76,38727,CC15,CC15,1359,0.00826969300514194,FALSE,13,13,1,1,12,11,13,15,CC15,0.890942823410356,TRUE,TRUE
38728_7726_MF_78,38728,CC15,CC15,1379,0.00839139562479082,FALSE,13,13,1,1,12,11,13,15,CC15,0.871431944678698,TRUE,TRUE
38729_7726_MF_79,38729,CC15,CC15,1389,0.00845224693461527,FALSE,13,13,1,1,12,11,13,15,CC15,0.871310507674144,TRUE,TRUE
38730_7726_MF_80,38730,CC15,CC15,1342,0.00816624577844038,FALSE,13,13,1,1,12,11,13,15,CC15,0.886044864226682,TRUE,TRUE
38731_7726_MF_81,38731,CC15,CC15,1174,0.00714394377338972,FALSE,13,13,1,1,12,11,13,15,CC15,0.878967785461292,TRUE,TRUE
38732_7726_MF_83,38732,"",CC30,3935,0.0239449904159187,FALSE,2,2,2,2,6,3,,,CC30,0.861865407319953,TRUE,TRUE
38733_7726_MF_84,38733,"",CC30,3981,0.0242249064411111,FALSE,2,2,2,2,6,3,,,CC30,0.8475493337831,TRUE,TRUE
38734_7726_MF_85,38734,"",CC5,893,0.00543402196732285,FALSE,1,4,1,4,12,1,,,CC5,0.951175577669084,TRUE,TRUE
38735_7726_MF_86,38735,"",CC30,3976,0.0241944807861989,FALSE,2,2,2,2,6,3,,,CC30,0.847346938775511,TRUE,TRUE
38736_7726_MF_87,38736,"",CC15,1797,0.0109349803754526,FALSE,13,13,1,,12,11,,,CC15,0.85469387755102,TRUE,TRUE
38737_7726_MF_88,38737,"",CC59,3131,0.0190525451060334,FALSE,19,23,15,2,19,20,,,CC59,0.842165626581211,TRUE,TRUE
38738_7726_MF_89,38738,"",CC59,3338,0.0203121672193994,FALSE,19,23,15,2,19,20,,,CC59,0.842448979591836,TRUE,TRUE
38739_7726_MF_90,38739,"",CC59,3309,0.0201356984209085,FALSE,19,23,15,2,19,20,,,CC59,0.864111991904199,TRUE,TRUE
38740_7726_MF_91,38740,"",CC59,3367,0.0204886360178903,FALSE,19,23,15,2,19,20,,,CC59,0.859160060718502,TRUE,TRUE
38741_7726_MF_92,38741,"",CC5,961,0.00584781087412907,FALSE,1,4,1,4,12,1,,,CC5,0.956127508854782,TRUE,TRUE
38742_7726_MF_33,38742,"",CC59,2425,0.0147564426324277,FALSE,19,23,15,2,41,20,15,87,CC59,0.844769775678866,TRUE,TRUE
38743_7726_MF_34,38743,"",CC12,1191,0.00724739100009128,FALSE,1,3,1,8,11,5,11,12,CC12,0.891145218417946,TRUE,TRUE
38744_8220_MF_10,38744,"",CC12,1221,0.00742994492956461,FALSE,1,3,1,8,11,5,11,12,CC12,0.876491819868443,TRUE,TRUE
38745_8220_MF_13,38745,CC5,CC5,530,0.00322511942069553,FALSE,1,4,1,4,12,1,10,5,CC5,0.935982459099342,TRUE,TRUE
38746_8220_MF_16,38746,"",CC20,1291,0.00785590409833572,FALSE,4,9,1,8,1,10,8,20,CC20,0.891145218417946,TRUE,TRUE
38747_8220_MF_22,38747,"",CC59,2548,0.0155049137432683,FALSE,19,23,15,2,41,20,15,87,CC59,0.890942823410356,TRUE,TRUE
38748_8220_MF_24,38748,CC5,CC5,557,0.00338941795722153,FALSE,1,4,1,4,12,1,10,5,CC5,0.961281835048069,TRUE,TRUE
38749_8220_MF_25,38749,CC8,CC8,1266,0.00770377582377461,FALSE,3,3,1,1,4,4,3,8,CC8,0.890942823410356,TRUE,TRUE
38750_8220_MF_29,38750,CC15,CC15,1563,0.00951105972556059,FALSE,13,13,258,1,12,11,13,5780,CC15,0.881038961038961,TRUE,TRUE
38751_8220_MF_30,38751,"",CC398/CC5561,3133,0.0190647153679983,FALSE,3,37,979,2,20,26,32,8113,CC398/CC5561,0.849553044358239,TRUE,TRUE
38752_8220_MF_37,38752,CC8,CC8,1304,0.00793501080110749,FALSE,3,3,1,1,4,4,3,8,CC8,0.876397368864902,TRUE,TRUE
38753_8220_MF_38,38753,CC8,CC8,1239,0.00753947728724861,FALSE,3,3,1,1,4,4,3,8,CC8,0.859160060718502,TRUE,TRUE
38754_8220_MF_42,38754,CC8,CC8,1236,0.00752122189430128,FALSE,3,3,1,1,4,4,3,8,CC8,0.881038961038961,TRUE,TRUE
38755_8220_MF_45,38755,"",CC59,2494,0.0151763166702163,FALSE,19,23,15,2,19,20,15,59,CC59,0.854477989542924,TRUE,TRUE
38756_8220_MF_48,38756,"",CC78,1255,0.00763683938296772,FALSE,22,1,14,23,12,4,31,88,CC78,0.903187721369539,TRUE,TRUE
38757_8220_MF_52,38757,"",CC101,1212,0.00737517875072261,FALSE,3,1,14,15,11,43,3,106,CC101,0.886247259234272,TRUE,TRUE
38758_8220_MF_54,38758,"",CC59,2573,0.0156570420178294,FALSE,19,23,15,2,41,20,15,87,CC59,0.866871310507674,TRUE,TRUE
38759_8220_MF_57,38759,CC5,CC5,538,0.00327380046855509,FALSE,1,4,1,4,12,1,10,5,CC5,0.953550345758138,TRUE,TRUE
38760_8220_MF_66,38760,"",CC59,3262,0.0198496972647336,FALSE,19,23,15,2,41,20,,,CC59,0.876289424860853,TRUE,TRUE
38761_8220_MF_8,38761,"",CC25,1241,0.0075516475492135,FALSE,4,1,980,1,5,5,4,8120,CC25,0.906001011975038,TRUE,TRUE
38762_8328_MF_17,38762,"",CC59,2533,0.0154136367785317,FALSE,19,23,15,2,19,20,15,59,CC59,0.873530106257379,TRUE,TRUE
38763_8328_MF_24,38763,"",CC25,1373,0.00835488483889616,FALSE,4,1,4,1,5,5,4,25,CC25,0.87603305785124,TRUE,TRUE
38764_8328_MF_25,38764,CC121,CC121,2363,0.0143791645115161,FALSE,902,5,6,2,7,7,5,7870,CC121,0.851205936920223,TRUE,TRUE
38765_8328_MF_30,38765,CC15,CC15,1304,0.00793501080110749,FALSE,612,13,1,1,12,11,13,7871,CC15,0.881038961038961,TRUE,TRUE
38766_7285_NS_9,38766,CC15,CC15,1413,0.00859829007819393,FALSE,13,13,1,1,12,11,13,15,CC15,0.883413729128014,TRUE,TRUE
38767_7285_NS_10,38767,CC97,CC97,1346,0.00819058630237016,FALSE,3,1,1,1,1,5,3,97,CC97,0.908348794063079,TRUE,TRUE
38768_7726_MF_1,38768,CC5,CC5,546,0.00332248151641464,FALSE,1,4,1,4,12,1,10,5,CC5,0.918063754427391,TRUE,TRUE
38769_7726_MF_2,38769,CC15,CC15,1370,0.00833662944594882,FALSE,13,13,1,1,12,10,13,582,CC15,0.880026986001012,TRUE,TRUE
38770_7726_MF_3,38770,CC30,CC30,2951,0.0179572215291934,FALSE,2,2,2,2,6,3,2,30,CC30,0.85901838421319,TRUE,TRUE
38771_7726_MF_4,38771,CC8,CC8,1285,0.00781939331244105,FALSE,932,3,1,1,4,4,3,8121,CC8,0.856684095125654,TRUE,TRUE
38772_7726_MF_5,38772,CC30,CC30,3175,0.019320290869261,FALSE,2,2,2,2,2,2,2,39,CC30,0.863983808399393,TRUE,TRUE
38773_7726_MF_6,38773,"",CC72,1070,0.00651109015121551,FALSE,1,4,1,8,4,892,3,8122,CC72,0.886044864226682,TRUE,TRUE
38774_7726_MF_7,38774,CC121,CC121,2368,0.0144095901664283,FALSE,6,5,6,2,7,14,5,121,CC121,0.876397368864902,TRUE,TRUE
38775_7726_MF_8,38775,"",CC398/CC5561,3098,0.0188517357836127,FALSE,3,35,19,2,20,26,39,398,CC398/CC5561,0.85928824422331,TRUE,TRUE
38776_7726_MF_9,38776,CC5,CC5,567,0.00345026926704597,FALSE,1,145,1,4,12,1,10,840,CC5,0.938573115196492,TRUE,TRUE
38777_7726_MF_10,38777,CC15,CC15,1331,0.00809930933763349,FALSE,13,13,1,1,12,11,13,15,CC15,0.890821386405802,TRUE,TRUE
38778_7726_MF_11,38778,CC15,CC15,1347,0.0081966714333526,FALSE,13,13,1,1,12,11,13,15,CC15,0.88615280823073,TRUE,TRUE
38779_7726_MF_12,38779,CC8,CC8,1260,0.00766726503787994,FALSE,3,3,1,1,4,4,3,8,CC8,0.868949232585596,TRUE,TRUE
38780_7726_MF_13,38780,CC15,CC15,1241,0.0075516475492135,FALSE,13,13,1,1,12,11,13,15,CC15,0.881038961038961,TRUE,TRUE
38781_7726_MF_14,38781,"",CC398/CC5561,2966,0.0180484984939301,FALSE,697,35,19,2,20,26,39,7872,CC398/CC5561,0.868679372575477,TRUE,TRUE
38782_7726_MF_15,38782,"",CC101,1200,0.00730215717893328,FALSE,3,1,14,15,11,43,3,106,CC101,0.891050767414404,TRUE,TRUE
38783_7726_MF_16,38783,CC8,CC8,1240,0.00754556241823105,FALSE,3,3,1,1,4,4,3,8,CC8,0.864111991904199,TRUE,TRUE
38784_7726_MF_17,38784,CC8,CC8,1222,0.00743603006054705,FALSE,3,3,1,1,4,4,3,8,CC8,0.880755608028335,TRUE,TRUE
38785_7726_MF_18,38785,"",CC59,2397,0.0145860589649192,FALSE,19,23,15,2,41,20,15,87,CC59,0.861501096306291,TRUE,TRUE
38786_7726_MF_19,38786,"",CC59,2544,0.0154805732193385,FALSE,19,23,15,2,41,20,15,87,CC59,0.881038961038961,TRUE,TRUE
38787_7726_MF_20,38787,"",CC59,2583,0.0157178933276539,FALSE,19,23,15,2,41,20,15,87,CC59,0.869063923089897,TRUE,TRUE
38788_7726_MF_21,38788,CC8,CC8,1260,0.00766726503787994,FALSE,3,3,1,1,4,4,3,8,CC8,0.844897959183673,TRUE,TRUE
38789_7726_MF_22,38789,CC8,CC8,1166,0.00709526272553017,FALSE,3,3,1,1,4,4,3,8,CC8,0.842314049586777,TRUE,TRUE
38790_7726_MF_23,38790,CC8,CC8,1174,0.00714394377338972,FALSE,3,3,1,1,4,4,3,8,CC8,0.883656603137122,TRUE,TRUE
38791_7726_MF_24,38791,"",CC395,4168,0.0253628259348282,FALSE,10,47,981,26,26,32,2,8123,CC395,0.818890200708382,TRUE,TRUE
38792_7726_MF_25,38792,CC5,CC5,551,0.00335290717132686,FALSE,1,4,1,4,12,1,10,5,CC5,0.941015348288075,TRUE,TRUE
38793_7726_MF_26,38793,CC1,CC1,2649,0.0161195119724952,FALSE,3,1,1,8,1,1,1,188,CC1,0.898471917692697,TRUE,TRUE
38794_7726_MF_27,38794,"",CC398/CC5561,3076,0.018717862901999,FALSE,3,35,19,2,20,26,39,398,CC398/CC5561,0.856940462135268,TRUE,TRUE
38795_7726_MF_28,38795,"",CC59,2420,0.0147260169775154,FALSE,19,23,15,636,41,20,15,8124,CC59,0.8761679878563,TRUE,TRUE
38796_7726_MF_29,38796,CC8,CC8,1170,0.00711960324945994,FALSE,3,3,1,1,4,4,3,8,CC8,0.8761679878563,TRUE,TRUE
38797_7726_MF_30,38797,CC15,CC15,1230,0.00748471110840661,FALSE,13,13,1,1,12,11,13,15,CC15,0.900887164783269,TRUE,TRUE
38798_7726_MF_93,38798,"",CC1,3158,0.0192168436425594,FALSE,3,1,1,8,1,1,,,CC1,0.888433125316242,TRUE,TRUE
38799_7726_MF_94,38799,"",CC22,2833,0.017239176073265,FALSE,7,6,1,5,8,8,,,CC22,0.814194636532299,TRUE,TRUE
38800_7726_MF_95,38800,"",CC30,3848,0.023415584020446,FALSE,2,2,2,2,6,3,,,CC30,0.859160060718502,TRUE,TRUE
38801_7726_MF_96,38801,"",CC15,1839,0.0111905558767152,FALSE,13,13,1,1,12,11,,,CC15,0.85886321470737,TRUE,TRUE
38802_8220_MF_72,38802,"",CC8,1290,0.00784981896735327,FALSE,3,3,1,1,4,4,,,CC8,0.857048406139314,TRUE,TRUE
38803_8220_MF_73,38803,"",CC5,931,0.00566525694465573,FALSE,1,4,1,4,12,1,,,CC5,0.935739585090234,TRUE,TRUE
38804_8220_MF_74,38804,"",CC5,915,0.00556789484893662,FALSE,1,4,1,4,12,1,,,CC5,0.928352167313206,TRUE,TRUE
38805_8220_MF_75,38805,"",CC5,942,0.00573219338546262,FALSE,1,4,1,4,12,1,,,CC5,0.948618654073199,TRUE,TRUE
38806_8220_MF_76,38806,"",CC15,2069,0.0125901360026775,FALSE,13,13,1,1,12,11,,,CC15,0.881038961038961,TRUE,TRUE
38807_8220_MF_77,38807,"",CC8,1308,0.00795935132503727,FALSE,3,3,1,1,4,4,,,CC8,0.871539888682745,TRUE,TRUE
38808_8220_MF_78,38808,CC5,CC5,540,0.00328597073051997,FALSE,1,4,1,4,12,1,10,5,CC5,0.931017034913139,TRUE,TRUE
38809_8220_MF_79,38809,"",CC8,1311,0.0079776067179846,FALSE,3,3,1,1,4,4,,,CC8,0.847454882779558,TRUE,TRUE
38810_8220_MF_80,38810,"",CC45,4371,0.0265981075242645,FALSE,10,14,8,6,10,3,,,CC45,0.849897115871142,TRUE,TRUE
38811_8220_MF_82,38811,"",CC30,3801,0.0231295828642712,FALSE,2,2,2,2,6,3,,,CC30,0.849984820374431,TRUE,TRUE
38812_8220_MF_84,38812,"",CC8,1259,0.0076611799068975,FALSE,3,3,1,1,4,4,,,CC8,0.868949232585596,TRUE,TRUE
38813_8220_MF_85,38813,"",CC398/CC5561,3770,0.0229409438038154,FALSE,3,35,19,2,20,26,,,CC398/CC5561,0.840128183504806,TRUE,TRUE
38814_8220_MF_86,38814,CC5,CC5,520,0.00316426811087109,FALSE,1,4,1,4,12,1,10,5,CC5,0.945994265474785,TRUE,TRUE
38815_8220_MF_87,38815,CC8,CC8,1228,0.00747254084644172,FALSE,3,3,1,1,4,4,3,8,CC8,0.87603305785124,TRUE,TRUE
38816_8220_MF_89,38816,"",CC398/CC5561,2847,0.0173243679070192,FALSE,3,35,19,2,20,26,39,398,CC398/CC5561,0.869063923089897,TRUE,TRUE
38817_8220_MF_90,38817,CC8,CC8,1254,0.00763075425198527,FALSE,3,1132,1,1,4,4,3,8125,CC8,0.864327879912296,TRUE,TRUE
38818_8220_MF_92,38818,CC8,CC8,1257,0.00764900964493261,FALSE,3,1132,1,1,4,4,3,8125,CC8,0.89291280148423,TRUE,TRUE
38819_8220_MF_96,38819,CC8,CC72,1035,0.00629811056682995,TRUE,1,4,1,8,4,4,3,72,CC72,0.847454882779558,TRUE,TRUE
38821_8328_MF_51,38821,"",CC398/CC5561,3003,0.0182736483402805,FALSE,3,35,19,2,20,26,39,398,CC398/CC5561,0.864111991904199,TRUE,TRUE
38822_8328_MF_52,38822,CC8,CC8,1269,0.00772203121672194,FALSE,3,3,1,1,4,4,3,8,CC8,0.847090571765896,TRUE,TRUE
38823_8328_MF_53,38823,CC8,CC8,1283,0.00780722305047616,FALSE,3,3,1,1,4,4,3,8,CC8,0.864111991904199,TRUE,TRUE
38824_8328_MF_54,38824,CC15,CC15,1351,0.00822101195728238,FALSE,13,13,1,1,12,11,13,15,CC15,0.885788497217069,TRUE,TRUE
38825_8328_MF_56,38825,"",CC15,1491,0.0090729302948246,FALSE,13,13,1,1,12,,,,CC15,0.772136953955135,TRUE,TRUE
