reads,sketch_id,shared_hashes,mlst,meca,pvl,scc,clindamycin,rifampicin,ciprofloxacin,vancomycin,tetracycline,mupirocin,gentamicin,trimethoprim,penicillin,methicillin,erythromycin,fusidicacid,barcode,resolution,basecall_method
1000,SAMEA3449062,2911,ST121,MSSA,PVL+,-,R,S,S,S,R,S,S,R,R,S,R,S,02,10k,fast
1000,SAMEA3448892,2909,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,02,10k,fast
2000,SAMEA3448848,2523,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,02,10k,fast
2000,SAMEA3449052,2508,ST121,MSSA,PVL+,-,R,S,S,S,R,S,S,S,R,S,R,S,02,10k,fast
2000,SAMEA2058265,2493,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,S,R,S,S,S,02,10k,fast
2000,SAMEA3448896,2488,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,02,10k,fast
2000,SAMEA3449069,2487,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,02,10k,fast
3000,SAMEA3449052,2117,ST121,MSSA,PVL+,-,R,S,S,S,R,S,S,S,R,S,R,S,02,10k,fast
3000,SAMEA3448848,2112,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,02,10k,fast
3000,SAMEA3449106,2112,ST121,MSSA,PVL+,-,R,S,S,S,R,S,S,S,R,S,R,S,02,10k,fast
3000,SAMEA3448949,2107,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,S,R,S,S,S,02,10k,fast
3000,SAMEA3448958,2099,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,02,10k,fast
4000,SAMEA3448848,1794,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,02,10k,fast
4000,SAMEA3449106,1782,ST121,MSSA,PVL+,-,R,S,S,S,R,S,S,S,R,S,R,S,02,10k,fast
4000,SAMEA3448958,1778,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,02,10k,fast
4000,SAMEA2058265,1771,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,S,R,S,S,S,02,10k,fast
4000,SAMEA3448911,1768,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,R,R,S,S,S,02,10k,fast
5000,SAMEA3448958,1551,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,02,10k,fast
5000,SAMEA3448848,1541,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,02,10k,fast
5000,SAMEA3449106,1535,ST121,MSSA,PVL+,-,R,S,S,S,R,S,S,S,R,S,R,S,02,10k,fast
5000,SAMEA3449059,1529,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,S,R,S,S,S,02,10k,fast
5000,SAMEA3448904,1528,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,02,10k,fast
6000,SAMEA3448958,1405,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,02,10k,fast
6000,SAMEA3448848,1390,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,02,10k,fast
6000,SAMEA3449106,1388,ST121,MSSA,PVL+,-,R,S,S,S,R,S,S,S,R,S,R,S,02,10k,fast
6000,SAMEA3448904,1381,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,02,10k,fast
6000,SAMEA3448911,1381,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,R,R,S,S,S,02,10k,fast
7000,SAMEA3448958,1298,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,02,10k,fast
7000,SAMEA3448848,1274,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,02,10k,fast
7000,SAMEA3448904,1270,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,02,10k,fast
7000,SAMEA3448896,1268,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,02,10k,fast
7000,SAMEA3448911,1265,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,R,R,S,S,S,02,10k,fast
8000,SAMEA3448958,1172,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,02,10k,fast
8000,SAMEA3448848,1166,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,02,10k,fast
8000,SAMEA3448911,1156,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,R,R,S,S,S,02,10k,fast
8000,SAMEA3448904,1152,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,02,10k,fast
8000,SAMEA3448896,1149,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,02,10k,fast
1000,SAMEA2663899,2859,ST1,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,R,09,10k,fast
1000,SAMEA2040729,2854,ST1,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,R,09,10k,fast
1000,SAMEA2041710,2853,ST1,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,R,09,10k,fast
1000,SAMEA104197182,2848,ST1,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,R,09,10k,fast
1000,SAMEA2664771,2841,ST1,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,R,09,10k,fast
2000,SAMEA2664771,2329,ST1,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,R,09,10k,fast
2000,SAMEA2340341,2318,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,R,09,10k,fast
2000,SAMEA103948809,2317,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,r,09,10k,fast
2000,SAMEA2663899,2317,ST1,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,R,09,10k,fast
2000,SAMEA4008532,2315,ST1,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,R,09,10k,fast
3000,SAMEA1317313,1949,ST1,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,R,09,10k,fast
3000,SAMN06327964,1948,ST1,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,R,09,10k,fast
3000,SAMEA1568644,1937,ST1,MRSA,PVL+,SCCmec-V,r,S,S,S,R,S,R,S,R,R,r,R,09,10k,fast
3000,SAMEA2664771,1936,ST1,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,R,09,10k,fast
3000,SAMN08111965,1929,ST1,MSSA,PVL+,-,S,S,S,S,S,S,S,S,S,S,S,r,09,10k,fast
4000,SAMEA1317313,1657,ST1,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,R,09,10k,fast
4000,SAMN06327964,1655,ST1,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,R,09,10k,fast
4000,SAMEA2383994,1651,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,R,09,10k,fast
4000,SAMEA2041416,1646,ST1,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,R,09,10k,fast
4000,SAMEA1572357,1640,ST1,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,S,09,10k,fast
5000,SAMEA2383994,1401,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,R,09,10k,fast
5000,SAMN08111965,1396,ST1,MSSA,PVL+,-,S,S,S,S,S,S,S,S,S,S,S,r,09,10k,fast
5000,SAMN03289608,1388,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,R,09,10k,fast
5000,SAMN06327964,1388,ST1,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,R,09,10k,fast
5000,SAMEA2041710,1387,ST1,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,R,09,10k,fast
6000,SAMEA2383994,1241,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,R,09,10k,fast
6000,SAMEA2664715,1240,ST1,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,R,09,10k,fast
6000,SAMEA2041710,1239,ST1,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,R,09,10k,fast
6000,SAMN06327964,1236,ST1,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,R,09,10k,fast
6000,SAMN08111965,1236,ST1,MSSA,PVL+,-,S,S,S,S,S,S,S,S,S,S,S,r,09,10k,fast
7000,SAMEA2383994,1105,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,R,09,10k,fast
7000,SAMEA2664715,1105,ST1,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,R,09,10k,fast
7000,SAMN08815272,1104,ST1,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,R,09,10k,fast
7000,SAMEA2385598,1103,ST1,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,R,09,10k,fast
7000,SAMEA2663855,1103,ST1,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,R,09,10k,fast
8000,SAMEA2664715,1009,ST1,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,R,09,10k,fast
8000,SAMEA2041710,1005,ST1,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,R,09,10k,fast
8000,SAMEA2383994,1004,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,R,09,10k,fast
8000,SAMEA4387630,1004,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,S,S,S,R,09,10k,fast
8000,SAMN06327429,1003,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,R,09,10k,fast
1000,SAMN05340523,2823,ST6,MSSA,PVL*,-,S,S,S,S,R,S,S,S,R,S,S,S,10,10k,fast
1000,SAMN06327936,2823,ST6,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,10,10k,fast
1000,SAMEA104137088,2816,ST6,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,10,10k,fast
1000,SAMEA104152188,2816,ST6,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,10,10k,fast
1000,SAMN06328057,2806,ST6,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,10,10k,fast
2000,SAMN06327936,2268,ST6,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,10,10k,fast
2000,SAMN06328057,2261,ST6,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,10,10k,fast
2000,SAMEA104137088,2252,ST6,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,10,10k,fast
2000,SAMEA104152188,2252,ST6,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,10,10k,fast
2000,SAMN06328182,2241,ST6,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,10,10k,fast
3000,SAMN06327936,1823,ST6,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,10,10k,fast
3000,SAMEA3449014,1810,ST6,MSSA,PVL*,-,S,S,S,S,R,S,S,S,R,S,S,S,10,10k,fast
3000,SAMN06328182,1809,ST6,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,10,10k,fast
3000,SAMEA3671754,1808,ST6,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,10,10k,fast
3000,SAMN05340523,1797,ST6,MSSA,PVL*,-,S,S,S,S,R,S,S,S,R,S,S,S,10,10k,fast
4000,SAMN06328057,1504,ST6,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,10,10k,fast
4000,SAMN06327936,1503,ST6,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,10,10k,fast
4000,SAMEA3449014,1496,ST6,MSSA,PVL*,-,S,S,S,S,R,S,S,S,R,S,S,S,10,10k,fast
4000,SAMN06327500,1495,ST6,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,10,10k,fast
4000,SAMEA3448886,1493,ST6,MSSA,PVL*,-,S,S,S,S,R,S,S,S,R,S,S,S,10,10k,fast
5000,SAMN06328057,1301,ST6,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,10,10k,fast
5000,SAMEA104452126,1298,ST6,MRSA,PVL*,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,S,S,10,10k,fast
5000,SAMN06327936,1298,ST6,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,10,10k,fast
5000,SAMN06328182,1298,ST6,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,10,10k,fast
5000,SAMN06327500,1297,ST6,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,10,10k,fast
6000,SAMEA104452126,1186,ST6,MRSA,PVL*,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,S,S,10,10k,fast
6000,SAMN06328182,1174,ST6,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,10,10k,fast
6000,SAMEA104452094,1168,ST6,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,10,10k,fast
6000,SAMEA53051668,1167,ST6,MSSA,PVL*,-,S,S,S,S,R,S,S,S,R,S,S,S,10,10k,fast
6000,SAMN05336837,1165,ST6,MSSA,PVL*,-,S,S,S,S,R,S,S,S,R,S,S,S,10,10k,fast
7000,SAMEA104452126,1074,ST6,MRSA,PVL*,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,S,S,10,10k,fast
7000,SAMEA3890630,1061,ST6,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,S,10,10k,fast
7000,SAMEA104452094,1056,ST6,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,10,10k,fast
7000,SAMEA53051668,1055,ST6,MSSA,PVL*,-,S,S,S,S,R,S,S,S,R,S,S,S,10,10k,fast
7000,SAMEA3727004,1051,ST6,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,10,10k,fast
8000,SAMEA104452126,990,ST6,MRSA,PVL*,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,S,S,10,10k,fast
8000,SAMEA104452094,978,ST6,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,10,10k,fast
8000,SAMEA2339946,978,ST6,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,10,10k,fast
8000,SAMEA3216210,978,ST6,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,10,10k,fast
8000,SAMEA3448886,975,ST6,MSSA,PVL*,-,S,S,S,S,R,S,S,S,R,S,S,S,10,10k,fast
1000,SAMEA2663899,2798,ST1,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,R,17,10k,fast
1000,SAMEA4387631,2796,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,17,10k,fast
1000,SAMEA2040729,2787,ST1,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,R,17,10k,fast
1000,SAMEA2340630,2787,ST1,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,R,17,10k,fast
1000,SAMEA2335117,2786,ST1,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,17,10k,fast
2000,SAMEA2383994,2193,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,R,17,10k,fast
2000,SAMEA2663899,2185,ST1,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,R,17,10k,fast
2000,SAMEA103948807,2183,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,r,17,10k,fast
2000,SAMEA4387631,2179,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,17,10k,fast
2000,SAMEA1529875,2178,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,17,10k,fast
3000,SAMN08815344,1812,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,17,10k,fast
3000,SAMEA1317313,1811,ST1,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,R,17,10k,fast
3000,SAMEA3919890,1810,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,17,10k,fast
3000,SAMEA4058950,1804,ST1,MRSA,PVL*,SCCmec-II,S,S,S,S,R,S,S,S,R,R,S,S,17,10k,fast
3000,SAMEA3323032,1803,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,S,S,S,S,17,10k,fast
4000,SAMEA1317313,1509,ST1,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,R,17,10k,fast
4000,SAMEA2383994,1506,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,R,17,10k,fast
4000,SAMEA1572357,1505,ST1,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,S,17,10k,fast
4000,SAMN08111965,1505,ST1,MSSA,PVL+,-,S,S,S,S,S,S,S,S,S,S,S,r,17,10k,fast
4000,SAMEA3181497,1504,ST474,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,17,10k,fast
5000,SAMEA2383994,1321,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,R,17,10k,fast
5000,SAMN08111965,1321,ST1,MSSA,PVL+,-,S,S,S,S,S,S,S,S,S,S,S,r,17,10k,fast
5000,SAMEA104452086,1313,ST1,MRSA,PVL*,SCCmec-III,R,S,S,S,R,S,S,S,R,R,R,R,17,10k,fast
5000,SAMEA104137961,1311,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,S,S,S,S,17,10k,fast
5000,SAMN03289608,1311,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,R,17,10k,fast
6000,SAMEA4547404,1189,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,17,10k,fast
6000,SAMN08111965,1189,ST1,MSSA,PVL+,-,S,S,S,S,S,S,S,S,S,S,S,r,17,10k,fast
6000,SAMEA104137961,1184,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,S,S,S,S,17,10k,fast
6000,SAMEA2383994,1184,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,R,17,10k,fast
6000,SAMN05337397,1184,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,R,17,10k,fast
7000,SAMEA3181497,1074,ST474,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,17,10k,fast
7000,SAMEA4547404,1074,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,17,10k,fast
7000,SAMEA2827033,1072,ST1,MSSA,PVL*,-,R,S,S,S,R,S,S,S,R,S,R,S,17,10k,fast
7000,SAMEA3181456,1072,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,17,10k,fast
7000,SAMEA2383919,1070,ST1908,MSSA,PVL*,-,S,S,S,S,R,S,S,S,R,S,S,S,17,10k,fast
8000,SAMEA4547404,993,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,17,10k,fast
8000,SAMN06327429,984,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,R,17,10k,fast
8000,SAMN06640057,984,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,S,S,S,S,17,10k,fast
8000,SAMEA3181456,983,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,17,10k,fast
8000,SAMEA4387630,983,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,S,S,S,R,17,10k,fast
1000,SAMEA3283339,2918,ST72,MSSA,PVL*,-,R,S,R,S,S,S,S,S,R,S,R,S,18,10k,fast
1000,SAMEA1966410,2900,ST72,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,18,10k,fast
1000,SAMEA2826929,2899,ST72,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,18,10k,fast
1000,SAMEA4547422,2899,ST72,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,18,10k,fast
1000,SAMEA2826909,2897,ST72,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,18,10k,fast
2000,SAMEA3283339,2246,ST72,MSSA,PVL*,-,R,S,R,S,S,S,S,S,R,S,R,S,18,10k,fast
2000,SAMEA3181074,2244,ST72,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,18,10k,fast
2000,SAMEA3283365,2241,ST72,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,18,10k,fast
2000,SAMEA3181453,2236,ST72,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,18,10k,fast
2000,SAMEA2826929,2233,ST72,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,18,10k,fast
