Isolate.me,Part_of_test,MLST.CC,pubmlst_id,CC_filled,n_unknown,prop_unknown,has_disagreement,Barcode,PVL,MRSA,Estimated_coverage,minSNPs_predicted_27SNPs_2kReads,minSNPs_predicted_27SNPs_2kReads_is_single_correct
ERR204175,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204176,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204177,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204178,FALSE,CC130,,CC130,0,0,FALSE,,,,,,
ERR204179,FALSE,CC30,,CC30,0,0,FALSE,,,,,,
ERR204180,FALSE,CC30,,CC30,0,0,FALSE,,,,,,
ERR204181,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204182,FALSE,CC80,,CC80,0,0,FALSE,,,,,,
ERR204183,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204184,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204185,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204186,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204187,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204188,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204189,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204190,FALSE,CC5,,CC5,0,0,FALSE,,,,,,
ERR204191,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204192,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204193,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204194,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204195,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204196,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204197,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204198,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204199,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204200,FALSE,CC5,,CC5,0,0,FALSE,,,,,,
ERR204201,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204202,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204203,FALSE,CC5,,CC5,0,0,FALSE,,,,,,
ERR204204,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204205,FALSE,CC8,,CC8,0,0,FALSE,,,,,,
ERR204206,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204207,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204208,FALSE,CC5,,CC5,0,0,FALSE,,,,,,
ERR204209,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR204210,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204211,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204212,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204213,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204214,FALSE,CC5,,CC5,0,0,FALSE,,,,,,
ERR204215,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204216,FALSE,CC30,,CC30,0,0,FALSE,,,,,,
ERR204217,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204218,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204219,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204220,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204221,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204222,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204223,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204224,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204225,FALSE,CC5,,CC5,0,0,FALSE,,,,,,
ERR204226,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204227,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204228,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204229,FALSE,CC80,,CC80,0,0,FALSE,,,,,,
ERR204230,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR204231,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212743,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212744,FALSE,CC59,,CC59,0,0,FALSE,,,,,,
ERR212745,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212746,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212747,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212748,FALSE,CC45,,CC45,0,0,FALSE,,,,,,
ERR212749,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212750,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212751,FALSE,CC59,,CC59,0,0,FALSE,,,,,,
ERR212753,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212756,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212757,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212758,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212759,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212760,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR212762,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212763,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212764,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212765,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212766,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212767,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212768,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212769,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212770,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212771,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212772,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212773,FALSE,CC59,,CC59,0,0,FALSE,,,,,,
ERR212774,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212775,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212776,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212777,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212778,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212779,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212780,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212781,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212782,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212783,FALSE,CC5,,CC5,0,0,FALSE,,,,,,
ERR212784,FALSE,CC8,,CC8,0,0,FALSE,,,,,,
ERR212785,FALSE,CC80,,CC80,0,0,FALSE,,,,,,
ERR212786,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212787,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212788,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212789,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212790,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212791,FALSE,CC30,,CC30,0,0,FALSE,,,,,,
ERR212792,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212793,FALSE,CC8,,CC8,0,0,FALSE,,,,,,
ERR212794,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212795,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212796,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212797,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212798,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212799,FALSE,CC30,,CC30,0,0,FALSE,,,,,,
ERR212800,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212801,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212802,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR212803,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212804,FALSE,CC45,,CC45,0,0,FALSE,,,,,,
ERR212805,FALSE,CC30,,CC30,0,0,FALSE,,,,,,
ERR212806,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212807,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212808,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212809,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212810,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212812,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212813,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR212814,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212815,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212816,FALSE,CC5,,CC5,0,0,FALSE,,,,,,
ERR212817,FALSE,CC6,,CC6,0,0,FALSE,,,,,,
ERR212818,FALSE,CC59,,CC59,0,0,FALSE,,,,,,
ERR212819,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212820,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212821,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212822,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212823,FALSE,CC30,,CC30,0,0,FALSE,,,,,,
ERR212824,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212825,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR212827,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212828,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212829,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212830,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212831,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212832,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212833,FALSE,CC8,,CC8,0,0,FALSE,,,,,,
ERR212834,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212835,FALSE,CC5,,CC5,0,0,FALSE,,,,,,
ERR212836,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212837,FALSE,CC45,,CC45,0,0,FALSE,,,,,,
ERR212838,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212839,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212840,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212841,FALSE,CC361,,CC361,0,0,FALSE,,,,,,
ERR212842,FALSE,CC30,,CC30,0,0,FALSE,,,,,,
ERR212843,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212844,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212845,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212847,FALSE,CC8,,CC8,0,0,FALSE,,,,,,
ERR212848,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212849,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212850,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212852,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212853,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212854,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212855,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212856,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212857,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212858,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212859,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212860,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR212861,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212862,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR212863,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212864,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212865,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212866,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212867,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212868,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR212869,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212870,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212871,FALSE,CC5,,CC5,0,0,FALSE,,,,,,
ERR212872,FALSE,CC5,,CC5,0,0,FALSE,,,,,,
ERR212873,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212874,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212875,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212876,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212877,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212878,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212879,FALSE,CC5,,CC5,0,0,FALSE,,,,,,
ERR212880,FALSE,CC130,,CC130,0,0,FALSE,,,,,,
ERR212881,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212882,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212883,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212884,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212885,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212886,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212887,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212888,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212889,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212890,FALSE,CC45,,CC45,0,0,FALSE,,,,,,
ERR212891,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212892,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212893,FALSE,CC6,,CC6,0,0,FALSE,,,,,,
ERR212894,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212895,FALSE,CC779,,CC779,0,0,FALSE,,,,,,
ERR212896,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212897,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212898,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212899,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR212900,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR212901,FALSE,CC5,,CC5,0,0,FALSE,,,,,,
ERR212902,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212903,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212904,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212905,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212906,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212907,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212908,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212909,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212910,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212911,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212912,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212913,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212914,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212915,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212916,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212917,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212918,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212919,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212920,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212922,FALSE,CC59,,CC59,0,0,FALSE,,,,,,
ERR212923,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212924,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212925,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR212926,FALSE,CC45,,CC45,0,0,FALSE,,,,,,
ERR212927,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR212928,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212929,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212930,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212933,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212934,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212935,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212937,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR212938,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR212939,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212940,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR212942,FALSE,CC30,,CC30,0,0,FALSE,,,,,,
ERR212943,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212944,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212947,FALSE,CC8,,CC8,0,0,FALSE,,,,,,
ERR212948,FALSE,CC30,,CC30,0,0,FALSE,,,,,,
ERR212949,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212950,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212951,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212952,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212953,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212954,FALSE,CC30,,CC30,0,0,FALSE,,,,,,
ERR212955,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212956,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212957,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212958,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212959,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212960,FALSE,CC72,,CC72,0,0,FALSE,,,,,,
ERR212961,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212962,FALSE,CC30,,CC30,0,0,FALSE,,,,,,
ERR212963,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212964,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212965,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212966,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212967,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212968,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212969,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212970,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212971,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212972,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212973,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212975,FALSE,CC15,,CC15,0,0,FALSE,,,,,,
ERR212976,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212977,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212978,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212979,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212980,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212981,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212982,FALSE,CC30,,CC30,0,0,FALSE,,,,,,
ERR212983,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212984,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212985,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212986,FALSE,CC5,,CC5,0,0,FALSE,,,,,,
ERR212987,FALSE,CC30,,CC30,0,0,FALSE,,,,,,
ERR212988,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212989,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR212990,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212992,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212994,FALSE,CC5,,CC5,0,0,FALSE,,,,,,
ERR212995,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212996,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212997,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212998,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR212999,FALSE,CC8,,CC8,0,0,FALSE,,,,,,
ERR213000,FALSE,CC5,,CC5,0,0,FALSE,,,,,,
ERR213001,FALSE,CC8,,CC8,0,0,FALSE,,,,,,
ERR213002,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR213003,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR213004,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR213005,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR213006,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR213007,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR213008,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR213009,FALSE,CC5,,CC5,0,0,FALSE,,,,,,
ERR213011,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR213012,FALSE,CC45,,CC45,0,0,FALSE,,,,,,
ERR213013,FALSE,CC30,,CC30,0,0,FALSE,,,,,,
ERR213014,FALSE,CC8,,CC8,0,0,FALSE,,,,,,
ERR213015,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR213016,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR213017,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR213018,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR213019,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR213020,FALSE,CC59,,CC59,0,0,FALSE,,,,,,
ERR213021,FALSE,CC30,,CC30,0,0,FALSE,,,,,,
ERR213022,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR213023,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR213024,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR213025,FALSE,CC59,,CC59,0,0,FALSE,,,,,,
ERR213026,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR355928,FALSE,CC8,,CC8,0,0,FALSE,,,,,,
ERR355929,FALSE,CC78,,CC78,0,0,FALSE,,,,,,
ERR355930,FALSE,CC5,,CC5,0,0,FALSE,,,,,,
ERR355931,FALSE,CC5,,CC5,0,0,FALSE,,,,,,
ERR355932,FALSE,CC30,,CC30,0,0,FALSE,,,,,,
ERR355933,FALSE,CC30,,CC30,0,0,FALSE,,,,,,
ERR355934,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR355935,FALSE,CC8,,CC8,0,0,FALSE,,,,,,
ERR3826069,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR3826070,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR3826071,FALSE,CC59,,CC59,0,0,FALSE,,,,,,
ERR3826072,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR3826073,FALSE,CC8,,CC8,0,0,FALSE,,,,,,
ERR3826074,FALSE,CC59,,CC59,0,0,FALSE,,,,,,
ERR3826075,FALSE,CC5,,CC5,0,0,FALSE,,,,,,
ERR3826076,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR3826077,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR3826078,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR3826079,FALSE,CC59,,CC59,0,0,FALSE,,,,,,
ERR3826080,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR3826081,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR3826082,FALSE,CC45,,CC45,0,0,FALSE,,,,,,
ERR3826083,FALSE,CC45,,CC45,0,0,FALSE,,,,,,
ERR3826084,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR3826085,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR3826086,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR3826087,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR3826088,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR3826089,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR3826090,FALSE,CC30,,CC30,0,0,FALSE,,,,,,
ERR3826091,FALSE,CC1,,CC1,0,0,FALSE,,,,,,
ERR3826092,FALSE,CC22,,CC22,0,0,FALSE,,,,,,
ERR3826093,FALSE,CC59,,CC59,0,0,FALSE,,,,,,
ERR3826094,FALSE,CC59,,CC59,0,0,FALSE,,,,,,
