"new_sample","most_similar","distance","cc"
"ERR12511810","SRR7983559",390,"CC121"
"ERR12511811","SRR7983556",1475,"CC152"
"ERR12511812","SRR7983556",996,"CC152"
"ERR12511813","ERR3826338",3459,"CC8"
"ERR12511814","SRR7983715",2652,"CC121"
"ERR12511815","SRR7983626",343,"CC78"
"ERR12511816","SRR7983715",770,"CC121"
"ERR12511817","SRR7983719",9692,"CC30"
"ERR12511818","ERR3826338",891,"CC8"
"ERR12511819","SRR7983718",3582,"CC15"
"ERR12511820","SRR7983626",1787,"CC78"
"ERR12511821","ERR3826338",115,"CC8"
"ERR12511822","SRR7983626",557,"CC78"
"ERR12511823","SRR7983626",3051,"CC78"
"ERR12511824","ERR3826296,STR1074-2-1-1",1501,"CC6"
"ERR12511825","SRR7983715",17193,"CC121"
"ERR12511826","ERR3826338",631,"CC8"
"ERR12511827","ERR737602",531,"CC22"
"ERR12511828","SRR7983559",769,"CC121"
"ERR12511829","ERR3826296",423,"CC6"
"ERR12511830","ERR3826338",578,"CC8"
"ERR12511831","SRR7983626",9916,"CC78"
"ERR12511832","STR1081-1-1-3,STR1081-2-1-1",1403,"CC72"
"ERR12511833","SRR7983556",800,"CC152"
"ERR12511834","SRR7983626",279,"CC78"
"ERR12511835","SRR7983626",6888,"CC78"
"ERR12511836","ERR3826338",608,"CC8"
"ERR12511837","SRR7983626",405,"CC78"
"ERR12511838","ERR3826338",364,"CC8"
"ERR12511839","ERR715146",6933,"CC8"
"ERR12511840","ERR3826338",1651,"CC8"
"ERR12511841","SRR7983626",109865,"CC78"
"ERR12511842","ERR3826338",6671,"CC8"
"ERR12511843","SRR7983718",777,"CC15"
"ERR12511844","SRR7983626",626,"CC78"
"ERR12511845","ERR3826338",108,"CC8"
"ERR12511846","ERR3826338",243,"CC8"
"ERR12511847","SRR7983626",289,"CC78"
"ERR12511848","SRR7983715",921,"CC121"
"ERR12511849","ERR3826296,STR1074-2-1-1",206,"CC6"
"ERR12511850","SRR7983715",2975,"CC121"
