pubmlst_id,n_reads,st,coverage,arcC,aroE,glpF,gmk,pta,tpi,yqiL
35868,5000,254,99.97,3,32,1*,1,4,4,3
35868,6000,254,100.00,3,32,1,1,4,4,3
35868,7000,254,100.00,3,32,1,1,4,4,3
35868,8000,254,100.00,3,32,1,1,4,4,3
35870,1000,ND,76.69,1*,87*,316*,1*,636*,323*,1*
35870,2000,ND,94.98,1*,87*,331*,1,1*,332*,1
35870,3000,6685,99.07,1,1*,331*,1,1*,1*,1
35870,4000,1,99.77,1,1*,1*,1,1,1*,1
35870,5000,1,99.87,1,1*,1*,1,1,1,1
35870,6000,1,99.90,1,1,1*,1,1,1,1
35870,7000,1,100.00,1,1,1,1,1,1,1
35870,8000,1,100.00,1,1,1,1,1,1,1
35871,1000,ND,79.61,649*,2*,289*,2*,3*,3*,348*
35871,2000,ND,91.86,218*,2,289*,2*,71*,3*,348*
35871,3000,500,96.62,2*,2,2*,2,71*,3*,2*
35871,4000,500,98.23,2*,2,2*,2,71*,3*,2*
35871,5000,36,99.87,2,2,2,2,3*,3*,2
35871,6000,36,99.94,2,2,2,2,3,3*,2
35871,7000,36,100.00,2,2,2,2,3,3,2
35871,8000,36,100.00,2,2,2,2,3,3,2
36588,1000,ND,75.11,95*,5*,6*,2*,89*,7,5*
36588,2000,ND,84.56,905*,5*,6,2*,7*,7,5*
36588,3000,ND,85.61,61*,5*,6,2,7*,7,5
36588,4000,ND,85.90,773*,5,6,2,7*,7,5
36588,5000,ND,85.99,773*,5,6,2,7,7,5
36588,6000,ND,85.99,773*,5,6,2,7,7,5
36588,7000,ND,86.09,773*,5,6,2,7,7,5
36588,8000,ND,86.19,773*,5,6,2,7,7,5
36589,1000,ND,75.11,95*,5*,6*,2*,89*,7,5*
36589,2000,ND,84.56,905*,5*,6,2*,7*,7,5*
36589,3000,ND,85.61,61*,5*,6,2,7*,7,5
36589,4000,ND,85.90,773*,5,6,2,7*,7,5
36589,5000,ND,85.99,773*,5,6,2,7,7,5
36589,6000,ND,85.99,773*,5,6,2,7,7,5
36589,7000,ND,86.09,773*,5,6,2,7,7,5
36589,8000,ND,86.19,773*,5,6,2,7,7,5
36592,1000,ND,78.32,36*,593*,161*,11*,6,3*,2*
36592,2000,ND,84.21,308*,2,161*,2*,6,3,2*
36592,3000,ND,85.90,827*,2,2,2,6,3,2
36592,4000,ND,86.03,827*,2,2,2,6,3,2
36592,5000,ND,86.03,827*,2,2,2,6,3,2
36592,6000,ND,86.16,827*,2,2,2,6,3,2
36592,7000,ND,86.19,827*,2,2,2,6,3,2
36592,8000,ND,86.22,827*,2,2,2,6,3,2
36593,1000,ND,75.11,95*,5*,6*,2*,89*,7,5*
36593,2000,ND,84.56,905*,5*,6,2*,7*,7,5*
36593,3000,ND,85.61,61*,5*,6,2,7*,7,5
36593,4000,ND,85.90,773*,5,6,2,7*,7,5
36593,5000,ND,85.99,773*,5,6,2,7,7,5
36593,6000,ND,85.99,773*,5,6,2,7,7,5
36593,7000,ND,86.09,773*,5,6,2,7,7,5
36593,8000,ND,86.19,773*,5,6,2,7,7,5
36594,1000,ND,75.11,95*,5*,6*,2*,89*,7,5*
36594,2000,ND,84.56,905*,5*,6,2*,7*,7,5*
36594,3000,ND,85.61,61*,5*,6,2,7*,7,5
36594,4000,ND,85.90,773*,5,6,2,7*,7,5
36594,5000,ND,85.99,773*,5,6,2,7,7,5
36594,6000,ND,85.99,773*,5,6,2,7,7,5
36594,7000,ND,86.09,773*,5,6,2,7,7,5
36594,8000,ND,86.19,773*,5,6,2,7,7,5
37267,1000,ND,62.74,3*,35*,552*,423*,500*,57*,902*
37267,2000,ND,92.42,3,35*,19,2,177*,580,39*
37267,3000,ND,97.74,3,35*,19,2,10*,580,39
37267,4000,6176,99.16,3,35,19,2,20*,580,39
37267,5000,6176,99.77,3,35,19,2,20*,580,39
37267,6000,6176,100.00,3,35,19,2,20,580,39
37267,7000,6176,100.00,3,35,19,2,20,580,39
37267,8000,6176,100.00,3,35,19,2,20,580,39
37268,1000,ND,79.33,2*,2*,2*,2*,482*,163*,972*
37268,2000,ND,93.79,2*,2*,2,2*,6*,198*,972*
37268,3000,7317,97.39,2*,2*,2,2*,6,3*,972*
37268,4000,7317,99.97,2,2,2,2*,6,3,972
37268,5000,7317,99.97,2,2,2,2*,6,3,972
37268,6000,7317,100.00,2,2,2,2,6,3,972
37268,7000,7317,100.00,2,2,2,2,6,3,972
37268,8000,7317,100.00,2,2,2,2,6,3,972
37276,1000,ND,77.66,829*,842*,689*,550*,776*,3*,972*
37276,2000,7317,94.20,2*,2*,2,2,6*,3*,972*
37276,3000,7317,98.29,2*,2*,2,2,6*,3,972*
37276,4000,7317,99.65,2*,2,2,2,6,3,972
37276,5000,7317,99.87,2*,2,2,2,6,3,972
37276,6000,7317,100.00,2,2,2,2,6,3,972
37276,7000,7317,100.00,2,2,2,2,6,3,972
37276,8000,7317,100.00,2,2,2,2,6,3,972
37279,1000,ND,74.63,2*,12*,2*,353*,575*,316*,176*
37279,2000,ND,96.46,2*,2*,2,2*,575*,456*,176*
37279,3000,ND,98.52,2*,2,2,2*,6,456*,972*
37279,4000,7317,99.74,2,2,2,2,6,3*,972
37279,5000,7317,99.97,2,2,2,2,6,3*,972
37279,6000,7317,99.97,2,2,2,2,6,3*,972
37279,7000,7317,99.97,2,2,2,2,6,3*,972
37279,8000,7317,99.97,2,2,2,2,6,3*,972
37280,1000,ND,78.32,36*,593*,161*,11*,6,3*,2*
37280,2000,ND,84.21,308*,2,161*,2*,6,3,2*
37280,3000,ND,85.90,827*,2,2,2,6,3,2
37280,4000,ND,86.03,827*,2,2,2,6,3,2
37280,5000,ND,86.03,827*,2,2,2,6,3,2
37280,6000,ND,86.16,827*,2,2,2,6,3,2
37280,7000,ND,86.19,827*,2,2,2,6,3,2
37280,8000,ND,86.22,827*,2,2,2,6,3,2
37464,1000,ND,82.29,876*,3*,822*,1*,4*,368*,400*
37464,2000,ND,91.34,240*,3,822*,1,4,368*,3*
37464,3000,8,95.49,3*,3,1*,1,4,4*,3*
37464,4000,8,98.23,3,3,1,1,4,4*,3*
37464,5000,ND,99.61,3,3,1,1,4,4*,1011*
37464,6000,8,100.00,3,3,1,1,4,4,3
37464,7000,8,100.00,3,3,1,1,4,4,3
37464,8000,8,100.00,3,3,1,1,4,4,3
38061,1000,ND,77.02,377*,631*,19*,139*,898*,58*,999*
38061,2000,7565,96.52,3*,631*,19*,2*,898,26*,999*
38061,3000,7565,99.10,3,631*,19,2*,898,26*,999
38061,4000,7565,100.00,3,631,19,2,898,26,999
38061,5000,7565,100.00,3,631,19,2,898,26,999
38061,6000,7565,100.00,3,631,19,2,898,26,999
38061,7000,7565,100.00,3,631,19,2,898,26,999
38061,8000,7565,100.00,3,631,19,2,898,26,999
38063,1000,ND,81.07,4*,1054*,4*,169*,5*,493*,397*
38063,2000,7550,95.36,4*,1*,4*,169,5*,493*,677*
38063,3000,7550,99.52,4*,1*,4,169,5*,493,677*
38063,4000,7550,99.84,4*,1,4,169,5*,493,677*
38063,5000,7550,99.84,4*,1,4,169,5*,493,677*
38063,6000,7550,99.90,4*,1,4,169,5,493,677
38063,7000,7550,99.90,4*,1,4,169,5,493,677
38063,8000,7550,100.00,4,1,4,169,5,493,677
38248,1000,ND,73.47,617*,63*,132*,371*,22*,931*,1*
38248,2000,ND,92.30,81*,1081*,132*,1*,22*,1*,1*
38248,3000,ND,96.17,81*,1081*,132,1*,22*,1,1*
38248,4000,7670,99.00,484*,1081*,132,1*,22*,1,1*
38248,5000,7670,99.71,484,1081*,132,1,22,1,1*
38248,6000,7670,99.74,484,1081,132,1,22,1,1*
38248,7000,7670,99.84,484,1081,132,1,22,1,1*
38248,8000,7670,99.94,484,1081,132,1,22,1,1*
38290,1000,ND,61.53,883*,13*,835*,436*,11*,91*,850*
38290,2000,ND,91.22,4*,13*,467*,105*,11*,582*,850*
38290,3000,ND,98.62,257*,13,835*,105*,11*,5,850
38290,4000,7687,99.68,4,13,1*,105*,11,5,850
38290,5000,7687,99.74,4,13,1,105*,11,5,850
38290,6000,7687,99.97,4,13,1,105*,11,5,850
38290,7000,7687,100.00,4,13,1,105,11,5,850
38290,8000,7687,100.00,4,13,1,105,11,5,850
38291,1000,ND,49.34,80*,38*,37*,185*,490*,432*,1013*
38291,2000,ND,91.02,61*,38*,37*,185*,1*,238*,1013*
38291,3000,ND,96.94,1*,38*,1*,185*,1*,238,1013*
38291,4000,7745,99.84,1*,38,1,1,1*,238,1013
38291,5000,7745,99.84,1*,38,1,1,1*,238,1013
38291,6000,7745,99.90,1*,38,1,1,1,238,1013
38291,7000,7745,100.00,1,38,1,1,1,238,1013
38291,8000,7745,100.00,1,38,1,1,1,238,1013
38293,1000,ND,65.94,515*,76*,87*,15*,28*,121*,135*
38293,2000,ND,91.27,709*,76*,1,15*,28*,840*,135*
38293,3000,ND,97.04,1,214*,798*,15*,28*,840*,1*
38293,4000,ND,99.39,1,3*,87*,15*,28,840*,1*
38293,5000,ND,99.68,1,3,87*,15*,28,840*,1
38293,6000,7746,99.97,1,3,1,15*,28,840,1
38293,7000,7746,100.00,1,3,1,15,28,840,1
38293,8000,7746,100.00,1,3,1,15,28,840,1
38294,1000,ND,63.61,184*,421*,490*,485*,122*,93*,11*
38294,2000,ND,94.78,484*,421*,1*,1*,12*,1*,11*
38294,3000,7689,99.48,1,421*,1,1,12*,1*,11*
38294,4000,7689,99.61,1,421*,1,1,12,1*,11
38294,5000,7689,100.00,1,421,1,1,12,1,11
38294,6000,7689,100.00,1,421,1,1,12,1,11
38294,7000,7689,100.00,1,421,1,1,12,1,11
38294,8000,7689,100.00,1,421,1,1,12,1,11
38295,1000,ND,78.49,1*,263*,1*,455*,503*,10*,11*
38295,2000,7690,92.79,1*,1*,1*,1*,28*,4,11*
38295,3000,7690,98.16,1*,1*,1*,1*,28*,4,11*
38295,4000,7690,99.00,1*,1*,1,1,28*,4,11*
38295,5000,ND,99.52,862*,1*,1,1,28*,4,11
38295,6000,7690,99.87,1,1*,1,1,28,4,11
38295,7000,7690,100.00,1,1,1,1,28,4,11
38295,8000,7690,100.00,1,1,1,1,28,4,11
38296,1000,ND,63.72,12*,1087*,539*,66*,263*,839*,850*
38296,2000,ND,88.44,12*,1087,775*,19*,11*,839,850*
38296,3000,7747,97.71,12*,1087,1*,66*,11*,839,850*
38296,4000,7747,99.58,12*,1087,1*,66*,11,839,850*
38296,5000,7747,99.77,12,1087,1,66,11,839,850*
38296,6000,7747,100.00,12,1087,1,66,11,839,850
38296,7000,7747,100.00,12,1087,1,66,11,839,850
38296,8000,7747,100.00,12,1087,1,66,11,839,850
38298,1000,ND,74.40,1*,421*,672*,598*,640*,1*,11*
38298,2000,ND,87.60,1*,421*,461*,598*,916*,1*,348*
38298,3000,ND,94.11,1*,421*,461*,598,916*,1*,11*
38298,4000,ND,98.62,1*,421,461*,598,916*,1,11*
38298,5000,7748,99.77,1,421,1*,598,916,1,11
38298,6000,7748,99.81,1,421,1*,598,916,1,11
38298,7000,7748,100.00,1,421,1,598,916,1,11
38298,8000,7748,100.00,1,421,1,598,916,1,11
38299,1000,ND,85.54,4*,421*,611*,105*,346*,8*,854*
38299,2000,ND,98.62,4,421*,636*,105*,349*,5*,854*
38299,3000,ND,99.52,4,421*,636,105,1*,5,854
38299,4000,ND,100.00,4,421,636,105,1,5,854
38299,5000,ND,100.00,4,421,636,105,1,5,854
38299,6000,ND,100.00,4,421,636,105,1,5,854
38299,7000,7692,100.00,4,421,1,105,1,5,854
38299,8000,7692,100.00,4,421,1,105,1,5,854
38300,1000,ND,73.37,1,718*,383*,598*,1*,56*,11*
38300,2000,ND,92.05,1,614*,292*,598,1*,726*,11*
38300,3000,ND,97.94,1,3*,457*,598,1*,1*,11*
38300,4000,7749,99.55,1,3,1*,598,1,1*,11*
38300,5000,7749,99.87,1,3,1,598,1,1*,11*
38300,6000,7749,100.00,1,3,1,598,1,1,11
38300,7000,7749,100.00,1,3,1,598,1,1,11
38300,8000,7749,100.00,1,3,1,598,1,1,11
38301,1000,ND,51.59,558*,38*,20*,15*,422*,178*,40*
38301,2000,ND,88.89,195*,38*,153*,15,322*,841*,40*
38301,3000,ND,98.42,543*,38,1*,15,1,841,40*
38301,4000,ND,99.55,94*,38,1*,15,1,841,40*
38301,5000,ND,99.65,543*,38,1*,15,1,841,40*
38301,6000,7750,99.84,3,38,1*,15,1,841,40*
38301,7000,7750,100.00,3,38,1,15,1,841,40
38301,8000,7750,100.00,3,38,1,15,1,841,40
38302,1000,ND,69.44,293*,210*,795*,307*,4*,217*,1014*
38302,2000,ND,93.43,3*,174*,1*,66*,4*,217*,1014
38302,3000,ND,97.75,3*,696*,1*,66,4,217*,1014
38302,4000,7751,99.29,3*,3*,1,66,4,1,1014
38302,5000,7751,99.32,3*,3*,1,66,4,1,1014
38302,6000,7751,99.77,3,3*,1,66,4,1,1014
38302,7000,7751,99.90,3,3*,1,66,4,1,1014
38302,8000,7751,100.00,3,3,1,66,4,1,1014
38303,1000,ND,77.97,100*,1*,110*,15*,115*,527*,11*
38303,2000,ND,93.75,100,1*,1032*,15*,1*,527*,11*
38303,3000,ND,98.17,100,1*,643*,15,1*,39*,11
38303,4000,7693,99.32,100,1*,1*,15,1,4*,11
38303,5000,7693,99.84,100,1*,1,15,1,4,11
38303,6000,7693,99.84,100,1*,1,15,1,4,11
38303,7000,7693,99.84,100,1*,1,15,1,4,11
38303,8000,7693,99.84,100,1*,1,15,1,4,11
38304,1000,ND,82.01,3*,735*,798*,66*,28*,842,850*
38304,2000,ND,94.56,3*,614*,40*,66*,28*,842,850*
38304,3000,7752,96.94,3*,3*,1,66,28,842,850*
38304,4000,7752,99.00,3,3*,1,66,28,842,850*
38304,5000,7752,99.55,3,3*,1,66,28,842,850*
38304,6000,7752,100.00,3,3,1,66,28,842,850
38304,7000,7752,100.00,3,3,1,66,28,842,850
38304,8000,7752,100.00,3,3,1,66,28,842,850
38305,1000,ND,82.68,570*,109*,1*,598*,79*,618*,11*
38305,2000,ND,94.01,4*,109*,1*,598,12*,1*,11*
38305,3000,7753,98.45,4*,3*,1*,598,12*,1*,11
38305,4000,7753,100.00,4,3,1,598,12,1,11
38305,5000,7753,100.00,4,3,1,598,12,1,11
38305,6000,7753,100.00,4,3,1,598,12,1,11
38305,7000,7753,100.00,4,3,1,598,12,1,11
38305,8000,7753,100.00,4,3,1,598,12,1,11
38306,1000,ND,79.95,377*,1088*,920*,105*,635*,10*,13*
38306,2000,ND,96.59,3*,1088*,814*,105*,635*,10,13
38306,3000,7754,99.32,3,1088,943*,105*,12*,10,13
38306,4000,7754,99.97,3,1088,943,105*,12,10,13
38306,5000,7754,100.00,3,1088,943,105,12,10,13
38306,6000,7754,100.00,3,1088,943,105,12,10,13
38306,7000,7754,100.00,3,1088,943,105,12,10,13
38306,8000,7754,100.00,3,1088,943,105,12,10,13
38308,1000,ND,85.51,6*,449*,1013*,2*,13*,50*,172*
38308,2000,7695,93.24,6*,79*,12*,2,13*,50*,172*
38308,3000,7695,98.13,6*,79*,12,2,13*,50,172*
38308,4000,7695,98.78,6*,79*,12,2,13,50,172*
38308,5000,7695,100.00,6,79,12,2,13,50,172
38308,6000,7695,100.00,6,79,12,2,13,50,172
38308,7000,7695,100.00,6,79,12,2,13,50,172
38308,8000,7695,100.00,6,79,12,2,13,50,172
38485,1000,ND,45.96,14*,823*,11*,605*,1004*,12*,14*
38485,2000,ND,87.75,14*,16*,11*,369*,1004*,12,14*
38485,3000,ND,91.67,14*,16*,11*,2,1004*,12,14*
38485,4000,ND,94.92,14,16*,11,2,10*,12,14
38485,5000,ND,96.17,14,16,11,2,867*,12,14
38485,6000,7767,99.58,14,16,11,2,922*,12,14
38485,7000,7767,99.81,14,16,11,2,922*,12,14
38485,8000,7767,99.87,14,16,11,2,922*,12,14
38608,1000,ND,69.16,538*,337*,204*,652*,153*,385*,3*
38608,2000,ND,91.69,538*,337*,939*,126*,4*,4,3*
38608,3000,ND,98.87,3,3*,481*,1*,4,4,3
38608,4000,8,99.16,3,3*,1*,1,4,4,3
38608,5000,8,99.84,3,3*,1,1,4,4,3
38608,6000,8,100.00,3,3,1,1,4,4,3
38608,7000,8,100.00,3,3,1,1,4,4,3
38608,8000,8,100.00,3,3,1,1,4,4,3
38609,1000,ND,78.12,712*,971*,643*,540*,771*,1*,384*
38609,2000,ND,91.70,1*,4,643*,540*,455*,1*,173*
38609,3000,2086,96.88,1,4,1*,4*,230*,1,10*
38609,4000,5468,99.29,1,4,1*,4*,671,1,10*
38609,5000,5468,99.55,1,4,1*,4*,671,1,10
38609,6000,5,99.87,1,4,1,4*,12,1,10
38609,7000,5,99.94,1,4,1,4*,12,1,10
38609,8000,5,100.00,1,4,1,4,12,1,10
38610,1000,ND,53.81,19*,955*,11*,505*,41*,125*,506*
38610,2000,ND,86.56,137*,23*,1023*,505*,41*,396*,15*
38610,3000,ND,93.56,19*,23*,15*,505*,41*,396*,15
38610,4000,87,98.78,19*,23*,15,2*,41,20*,15
38610,5000,87,99.74,19*,23,15,2,41,20*,15
38610,6000,87,100.00,19,23,15,2,41,20,15
38610,7000,87,100.00,19,23,15,2,41,20,15
38610,8000,87,100.00,19,23,15,2,41,20,15
38611,1000,ND,74.67,296*,3*,"",370*,11,5*,11*
38611,2000,ND,84.13,1*,3*,"",8*,11,5,11*
38611,3000,ND,85.39,1,3,"",8*,11,5,11*
38611,4000,ND,94.27,1,3,65*,8*,11,5,11
38611,5000,ND,99.61,1,3,65*,8*,11,5,11
38611,6000,ND,99.84,1,3,798*,8*,11,5,11
38611,7000,ND,99.97,1,3,232,8*,11,5,11
38611,8000,12,99.97,1,3,1,8*,11,5,11
38612,1000,ND,65.61,3*,456*,539*,102*,192*,851*,989*
38612,2000,ND,97.04,3*,3*,1*,181*,4*,851*,3*
38612,3000,ND,98.65,3*,3*,1*,149*,4*,851*,3*
38612,4000,8,98.94,3,3*,1*,1*,4,4*,3*
38612,5000,8,99.97,3,3,1*,1,4,4,3
38612,6000,8,100.00,3,3,1,1,4,4,3
38612,7000,8,100.00,3,3,1,1,4,4,3
38612,8000,8,100.00,3,3,1,1,4,4,3
38692,1000,ND,69.45,2*,807*,973*,310*,674*,456*,972*
38692,2000,ND,94.24,2*,2,200*,3*,674*,3*,2*
38692,3000,5515,98.36,2*,2,2*,2,674*,3*,2*
38692,4000,30,99.16,2,2,2*,2,6*,3,2*
38692,5000,30,99.97,2,2,2,2,6*,3,2
38692,6000,30,99.97,2,2,2,2,6*,3,2
38692,7000,30,100.00,2,2,2,2,6,3,2
38692,8000,30,100.00,2,2,2,2,6,3,2
38693,1000,ND,69.34,223*,3*,666*,355*,826*,124*,203*
38693,2000,ND,95.46,469*,3*,1*,181*,4*,124*,3*
38693,3000,ND,98.87,3,3*,1*,181*,4*,4,3*
38693,4000,ND,99.74,3,3,1,181*,4,4,3*
38693,5000,8,99.77,3,3,1,1*,4,4,3
38693,6000,8,100.00,3,3,1,1,4,4,3
38693,7000,8,100.00,3,3,1,1,4,4,3
38693,8000,8,100.00,3,3,1,1,4,4,3
38694,1000,ND,67.13,72*,573*,854*,80*,395*,4*,905*
38694,2000,ND,88.47,105*,573*,1*,578*,4*,4,3*
38694,3000,3425,98.04,3*,573*,1,1*,4*,4,3*
38694,4000,8,99.81,3,3,1,1*,4,4,3
38694,5000,8,99.90,3,3,1,1*,4,4,3
38694,6000,8,100.00,3,3,1,1,4,4,3
38694,7000,8,100.00,3,3,1,1,4,4,3
38694,8000,8,100.00,3,3,1,1,4,4,3
38695,1000,ND,70.94,704*,27*,189*,1*,378*,899*,28*
38695,2000,ND,90.53,3*,27*,1*,1*,378*,1*,28*
38695,3000,109,98.87,3*,27*,1,1*,1*,1,10*
38695,4000,109,99.13,3*,27*,1,1,1*,1,10*
38695,5000,109,99.45,3,27,1,1,1*,1,10*
38695,6000,109,99.87,3,27,1,1,1,1,10*
38695,7000,109,99.94,3,27,1,1,1,1,10*
38695,8000,109,100.00,3,27,1,1,1,1,10
38696,1000,ND,49.76,66*,37*,979*,"",869*,779*,676*
38696,2000,ND,88.75,3*,37*,979*,528*,20*,779*,32*
38696,3000,8113,96.03,3*,37,979*,2*,20*,26,32*
38696,4000,8113,96.81,3,37,979,2*,20*,26,32*
38696,5000,8113,99.32,3,37,979,2*,20,26,32*
38696,6000,8113,99.90,3,37,979,2,20,26,32*
38696,7000,8113,100.00,3,37,979,2,20,26,32
38696,8000,8113,100.00,3,37,979,2,20,26,32
38697,1000,ND,78.49,952*,463*,979*,250*,20*,392*,32*
38697,2000,ND,92.71,3*,677*,979*,2,20*,26*,32*
38697,3000,8113,98.71,3*,37*,979,2,20*,26,32*
38697,4000,8113,99.45,3,37*,979,2,20,26,32*
38697,5000,8113,100.00,3,37,979,2,20,26,32
38697,6000,8113,100.00,3,37,979,2,20,26,32
38697,7000,8113,100.00,3,37,979,2,20,26,32
38697,8000,8113,100.00,3,37,979,2,20,26,32
38698,1000,ND,67.25,3*,37*,979*,"",20*,897*,32*
38698,2000,8113,93.49,3,37*,979,2*,20*,26*,32*
38698,3000,8113,98.90,3,37,979,2*,20*,26,32*
38698,4000,8113,99.94,3,37,979,2*,20,26,32
38698,5000,8113,100.00,3,37,979,2,20,26,32
38698,6000,8113,100.00,3,37,979,2,20,26,32
38698,7000,8113,100.00,3,37,979,2,20,26,32
38698,8000,8113,100.00,3,37,979,2,20,26,32
38699,1000,ND,53.76,243*,430*,289*,612*,911*,3*,401*
38699,2000,ND,76.04,243*,781*,289*,2*,2*,3*,2*
38699,3000,ND,93.21,243*,2*,2*,2,163*,3,2
38699,4000,30,99.03,2*,2,2*,2,6*,3,2
38699,5000,30,99.87,2,2,2*,2,6*,3,2
38699,6000,30,100.00,2,2,2,2,6,3,2
38699,7000,30,100.00,2,2,2,2,6,3,2
38699,8000,30,100.00,2,2,2,2,6,3,2
38700,1000,ND,81.15,13*,1114*,387*,1*,12*,11*,13*
38700,2000,15,96.10,13*,13*,1*,1,12*,11*,13*
38700,3000,15,99.03,13*,13*,1*,1,12,11*,13
38700,4000,15,99.77,13*,13*,1,1,12,11,13
38700,5000,15,100.00,13,13,1,1,12,11,13
38700,6000,15,100.00,13,13,1,1,12,11,13
38700,7000,15,100.00,13,13,1,1,12,11,13
38700,8000,15,100.00,13,13,1,1,12,11,13
38701,1000,ND,75.99,543*,37*,979*,347*,20*,26*,743*
38701,2000,ND,97.78,3,37*,979*,380*,20,26*,32*
38701,3000,8113,99.74,3,37*,979*,2,20,26,32*
38701,4000,8113,99.94,3,37*,979,2,20,26,32*
38701,5000,8113,100.00,3,37,979,2,20,26,32
38701,6000,8113,100.00,3,37,979,2,20,26,32
38701,7000,8113,100.00,3,37,979,2,20,26,32
38701,8000,8113,100.00,3,37,979,2,20,26,32
38702,1000,ND,76.40,106*,3*,861*,1*,293*,364*,3*
38702,2000,ND,94.66,3*,3*,1*,1,4*,364*,3*
38702,3000,2015,97.68,3,3,1*,1,222*,4*,3*
38702,4000,2015,99.07,3,3,1,1,222*,4,3*
38702,5000,8,99.77,3,3,1,1,4*,4,3*
38702,6000,8,100.00,3,3,1,1,4,4,3
38702,7000,8,100.00,3,3,1,1,4,4,3
38702,8000,8,100.00,3,3,1,1,4,4,3
38703,1000,ND,72.54,375*,1155*,1*,473*,4*,880*,949*
38703,2000,ND,92.59,514*,1155*,1*,1*,4*,4*,3*
38703,3000,ND,95.62,514*,1059*,1*,1*,4,4*,3
38703,4000,ND,97.68,375*,3,1*,1,4,4,3
38703,5000,8,98.94,3*,3,1*,1,4,4,3
38703,6000,8,99.07,3*,3,1*,1,4,4,3
38703,7000,7605,100.00,892,3,1,1,4,4,3
38703,8000,8,100.00,3,3,1,1,4,4,3
38704,1000,ND,74.34,19*,23*,15*,2*,19*,147*,15*
38704,2000,59,94.37,19*,23*,15*,2*,19*,20*,15*
38704,3000,59,97.81,19*,23*,15*,2,19*,20,15
38704,4000,59,99.65,19,23*,15,2,19*,20,15
38704,5000,59,99.84,19,23*,15,2,19*,20,15
