reads,sketch_id,shared_hashes,mlst,meca,pvl,scc,clindamycin,rifampicin,ciprofloxacin,vancomycin,tetracycline,mupirocin,gentamicin,trimethoprim,penicillin,methicillin,erythromycin,fusidicacid,pubmlst_id,resolution
6000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,36588,1k
7000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,36588,1k
8000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,36588,1k
1000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,36589,1k
2000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,36589,1k
3000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,S,R,S,S,S,36589,1k
4000,-,-,ST121,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,36589,1k
5000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,36589,1k
6000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,36589,1k
7000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,36589,1k
8000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,36589,1k
1000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,36592,1k
2000,-,-,ST30,MRSA,PVL-,SCCmec-II,R,S,S,S,S,S,S,R,R,R,R,S,36592,1k
3000,-,-,ST121,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,36592,1k
4000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,36592,1k
5000,-,-,ST30,MRSA,PVL-,-,R,S,S,S,S,S,S,R,R,R,R,S,36592,1k
6000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,36592,1k
7000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,S,R,R,R,S,36592,1k
8000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,36592,1k
1000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,36593,1k
2000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,36593,1k
3000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,S,R,S,S,S,36593,1k
4000,-,-,ST121,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,36593,1k
5000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,36593,1k
6000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,36593,1k
7000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,36593,1k
8000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,36593,1k
1000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,36594,1k
2000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,36594,1k
3000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,S,R,S,S,S,36594,1k
4000,-,-,ST121,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,36594,1k
5000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,36594,1k
6000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,36594,1k
7000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,36594,1k
8000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,36594,1k
1000,-,-,ST398,MRSA,PVL-,Vc,S,S,S,S,R,S,S,S,R,R,S,S,37267,1k
2000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,S,R,R,R,S,37267,1k
3000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,S,R,R,R,S,37267,1k
4000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,S,R,R,R,S,37267,1k
5000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,S,R,R,R,S,37267,1k
6000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,S,R,R,R,S,37267,1k
7000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,R,R,R,R,S,37267,1k
8000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,R,R,R,R,S,37267,1k
1000,-,-,ST30,MSSA,PVL-,-,R,S,S,S,S,S,S,S,R,S,R,S,37268,1k
2000,-,-,ST30,MSSA,PVL-,-,R,S,S,S,S,S,S,S,R,S,R,S,37268,1k
3000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,37268,1k
4000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,37268,1k
5000,-,-,ST5,MRSA,PVL*,SCCmec-II,S,S,S,S,S,S,S,S,R,R,S,S,37268,1k
6000,-,-,ST36,MRSA,PVL-,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,S,S,37268,1k
7000,-,-,ST149,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,37268,1k
8000,-,-,ST239,MRSA,PVL*,-,S,S,S,S,S,S,S,S,R,R,S,S,37268,1k
1000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,37276,1k
2000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,37276,1k
3000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,37276,1k
4000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,37276,1k
5000,-,-,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,37276,1k
6000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,37276,1k
7000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,37276,1k
8000,-,-,ST36,MSSA,PVL-,-,R,S,R,S,S,S,S,S,R,S,R,S,37276,1k
1000,-,-,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,37279,1k
2000,-,-,ST30,MSSA,PVL-,-,R,S,S,S,S,S,S,S,R,S,R,S,37279,1k
3000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,37279,1k
4000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,37279,1k
5000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,37279,1k
6000,-,-,ST36,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,37279,1k
7000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,37279,1k
8000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,37279,1k
1000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,37280,1k
2000,-,-,ST30,MRSA,PVL-,SCCmec-II,R,S,S,S,S,S,S,R,R,R,R,S,37280,1k
3000,-,-,ST121,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,37280,1k
4000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,37280,1k
5000,-,-,ST30,MRSA,PVL-,-,R,S,S,S,S,S,S,R,R,R,R,S,37280,1k
6000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,37280,1k
7000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,S,R,R,R,S,37280,1k
8000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,37280,1k
1000,-,-,ST8,MRSA,PVL*,-,S,S,S,S,S,S,S,S,R,R,R,S,37464,1k
2000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,37464,1k
3000,-,-,ST8,MRSA,PVL*,-,R,S,R,S,S,S,S,S,R,R,R,S,37464,1k
4000,-,-,ST8,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,37464,1k
5000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,37464,1k
6000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,37464,1k
7000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,37464,1k
8000,-,-,ST8,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,37464,1k
1000,-,-,ST398,MRSA,PVL-,Vc,S,S,S,S,R,S,S,R,R,R,S,S,38061,1k
2000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,R,R,R,R,S,38061,1k
3000,-,-,ST398,MRSA,PVL-,Vc,S,S,S,S,S,S,S,S,R,R,S,S,38061,1k
4000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,S,R,R,R,S,38061,1k
5000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,S,R,R,R,S,38061,1k
6000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,R,R,R,R,S,38061,1k
7000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,S,R,R,R,S,38061,1k
8000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,S,R,R,R,S,38061,1k
1000,-,-,ST5,MRSA,PVL*,SCCmec-II,S,S,R,S,S,S,S,S,R,R,S,S,38063,1k
2000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38063,1k
3000,-,-,ST5,MRSA,PVL*,-,R,S,S,S,S,S,S,S,R,R,R,S,38063,1k
4000,-,-,ST5,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38063,1k
5000,-,-,ST5,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38063,1k
6000,-,-,ST5,MRSA,PVL*,SCCmec-II,R,S,S,S,S,S,S,S,R,R,R,S,38063,1k
7000,-,-,ST5,MRSA,PVL*,SCCmec-II,R,S,S,S,S,S,S,S,R,R,R,S,38063,1k
8000,-,-,ST5,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,38063,1k
1000,-,-,ST772,MRSA,PVL+,SCCmec-V,S,S,R,S,S,S,R,R,R,R,R,S,38248,1k
2000,-,-,ST772,MRSA,PVL+,SCCmec-V,S,S,R,S,S,S,R,R,R,R,R,S,38248,1k
3000,-,-,ST772,MRSA,PVL+,SCCmec-V,S,S,R,S,S,S,R,R,R,R,R,S,38248,1k
4000,-,-,ST8,MRSA,PVL*,SCCmec-V,S,S,R,S,S,S,S,S,R,R,R,S,38248,1k
5000,-,-,ST772,MRSA,PVL+,SCCmec-V,S,S,R,S,S,S,R,R,R,R,R,S,38248,1k
6000,-,-,ST772,MRSA,PVL+,SCCmec-V,S,S,R,S,S,S,R,R,R,R,R,S,38248,1k
7000,-,-,ST772,MRSA,PVL+,-,S,S,S,S,S,S,S,S,R,R,S,S,38248,1k
8000,-,-,ST8,MRSA,PVL*,-,S,S,R,S,S,S,S,S,R,R,S,S,38248,1k
1000,-,-,ST15,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38290,1k
2000,-,-,ST5,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38290,1k
3000,-,-,ST72,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38290,1k
4000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38290,1k
5000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38290,1k
6000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38290,1k
7000,-,-,ST5,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,38290,1k
8000,-,-,ST22,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,S,38290,1k
1000,-,-,ST5,MRSA,PVL*,-,R,S,S,S,S,S,S,S,R,R,S,S,38291,1k
2000,-,-,ST772,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38291,1k
3000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38291,1k
4000,-,-,ST8,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,38291,1k
5000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38291,1k
6000,-,-,ST8,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,38291,1k
7000,-,-,ST8,MRSA,PVL*,-,R,S,S,S,S,S,S,S,R,R,R,S,38291,1k
8000,-,-,ST8,MRSA,PVL*,-,R,S,S,S,S,S,S,S,R,R,R,S,38291,1k
1000,-,-,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38293,1k
2000,-,-,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,S,S,S,S,38293,1k
3000,-,-,ST72,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38293,1k
4000,-,-,ST5,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38293,1k
5000,-,-,ST6,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,38293,1k
6000,-,-,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,38293,1k
7000,-,-,ST5,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,S,38293,1k
8000,-,-,ST1,MRSA,PVL*,-,R,S,S,S,S,S,S,S,R,R,R,S,38293,1k
1000,-,-,ST225,MRSA,PVL*,SCCmec-II,S,S,R,S,S,S,S,S,R,R,R,S,38294,1k
2000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38294,1k
3000,-,-,ST8,MRSA,PVL*,SCCmec-II,R,S,S,S,S,S,S,S,R,R,R,S,38294,1k
4000,-,-,ST5,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,38294,1k
5000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38294,1k
6000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38294,1k
7000,-,-,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,38294,1k
8000,-,-,ST22,MRSA,PVL*,SCCmec-IV,R,S,R,S,S,S,S,S,R,R,R,S,38294,1k
1000,-,-,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38295,1k
2000,-,-,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38295,1k
3000,-,-,ST8,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,38295,1k
4000,-,-,ST8,MRSA,PVL*,-,R,S,S,S,S,S,S,S,R,R,R,S,38295,1k
5000,-,-,ST8,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,S,38295,1k
6000,-,-,ST5,MRSA,PVL*,Vc,R,S,R,S,S,S,S,S,R,R,R,S,38295,1k
7000,-,-,ST5,MRSA,PVL*,SCCmec-IV,R,S,R,S,S,S,S,S,R,R,R,S,38295,1k
8000,-,-,ST22,MRSA,PVL-,SCCmec-IV,R,S,R,S,S,S,S,S,R,R,R,S,38295,1k
1000,-,-,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,38296,1k
2000,-,-,ST5,MSSA,PVL*,-,S,S,S,S,S,S,S,S,S,S,S,S,38296,1k
3000,-,-,ST5,MRSA,PVL*,SCCmec-II,S,S,S,S,S,S,S,S,R,R,S,S,38296,1k
4000,-,-,ST5,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38296,1k
5000,-,-,ST22,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,38296,1k
6000,-,-,ST22,MRSA,PVL-,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,S,S,38296,1k
7000,-,-,ST22,MRSA,PVL-,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,S,S,38296,1k
8000,-,-,ST22,MRSA,PVL-,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,S,S,38296,1k
1000,-,-,ST8,MRSA,PVL*,SCCmec-II,S,S,R,S,S,S,S,S,R,R,S,S,38298,1k
2000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38298,1k
3000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38298,1k
4000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38298,1k
5000,-,-,ST8,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,38298,1k
6000,-,-,ST22,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,38298,1k
7000,-,-,ST22,MRSA,PVL-,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,S,S,38298,1k
8000,-,-,ST22,MRSA,PVL-,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,S,S,38298,1k
1000,-,-,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38299,1k
2000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38299,1k
